Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases
0,808478,756,2324,191,756,0,191,0
1,807737,1295,2352,365,741,202,174,96
2,806982,1742,2500,525,755,308,160,130
3,806237,2070,2711,731,745,417,206,191
4,805414,2380,3034,921,823,513,190,200
5,804451,2763,3399,1136,963,580,215,248
6,803397,3105,3873,1374,1054,712,238,291
7,802139,3564,4377,1669,1258,799,295,315
8,800778,4050,4931,1990,1361,875,321,348
9,799308,4485,5614,2342,1470,1035,352,433
10,797543,5107,6299,2800,1765,1143,458,488
11,795667,5719,7114,3249,1876,1264,449,541
12,793390,6583,8021,3755,2277,1413,506,569
13,790855,7433,9112,4349,2535,1685,594,693
14,788016,8416,10259,5058,2839,1856,709,768
15,784992,9345,11629,5783,3024,2095,725,838
16,781499,10535,13034,6681,3493,2303,898,982
17,777717,11673,14692,7667,3782,2644,986,1127
18,773294,13201,16417,8837,4423,2895,1170,1235
19,768360,14773,18539,10077,4934,3362,1240,1450
20,762724,16751,20759,11515,5636,3658,1438,1585
21,756642,18608,23375,13124,6082,4225,1609,1868
22,749802,20756,26339,14852,6840,4692,1728,2064
23,742201,23241,29413,16894,7601,5116,2042,2162
24,733849,25684,32984,19232,8352,5909,2338,2568
25,724599,28557,36831,21762,9250,6377,2530,2803
26,714440,31522,41230,24557,10159,7194,2795,3111
27,706919,31332,45688,27810,7521,7711,3253,3414
28,700569,29858,49972,31350,6350,7824,3540,3505
29,693642,29346,53483,35278,6927,7439,3928,3210
30,686396,29287,56690,39376,7246,7305,4098,3282
31,678636,29681,59602,43830,7760,7366,4454,3313
32,670654,30153,62498,48444,7982,7510,4614,3271
33,662427,30817,65300,53205,8227,7563,4761,3413
34,653846,31867,67850,58186,8581,7531,4981,3393
35,645231,32620,70474,63424,8615,7862,5238,3600
36,636283,33471,73192,68803,8948,8097,5379,3674
37,626999,34456,75868,74426,9284,8299,5623,3785
38,617513,35464,78465,80307,9486,8478,5881,3865
39,607852,36231,81235,86431,9661,8894,6124,4083
40,597887,37082,84182,92598,9965,9114,6167,4089
41,587742,38070,87009,98928,10145,9157,6330,4176
42,577123,39272,89736,105618,10619,9417,6690,4333
43,566314,40230,92596,112609,10809,9851,6991,4549
44,555228,41258,95553,119710,11086,10058,7101,4679
45,543989,42137,98674,126949,11239,10360,7239,4826
46,532424,43199,101633,134493,11565,10503,7544,4803
47,520722,44163,104407,142457,11702,10738,7964,5061
48,508920,44953,107299,150577,11802,11012,8120,5175
49,496781,45670,110462,158836,12139,11422,8259,5407
50,484272,46752,113411,167314,12509,11427,8478,5443
51,471491,47859,116483,175916,12781,11674,8602,5553
52,458224,49100,119533,184892,13267,12026,8976,5758
53,444759,50174,122717,194099,13465,12391,9207,5919
54,431111,51362,125711,203565,13648,12460,9466,5863
55,417176,52242,129017,213314,13935,13055,9749,6355
56,402944,53570,132008,223227,14232,12904,9913,6179
57,388763,54440,135300,233246,14181,13311,10019,6450
58,374115,55507,138580,243547,14648,13581,10301,6737
59,359066,56729,141810,254144,15049,13827,10597,6633
60,343802,57743,145060,265144,15264,14250,11000,7019
61,328372,58781,148224,276372,15430,14392,11228,7019
62,313148,59213,151687,287701,15224,14792,11329,7293
63,297724,59744,154801,299480,15424,14893,11779,7336
64,282352,60379,157646,311372,15372,14737,11892,7269
65,267076,60410,160732,323531,15276,15245,12159,7619
66,251994,60397,163402,335956,15082,15095,12425,7586
67,237207,60013,165988,348541,14787,15171,12585,7546
68,222671,59765,168135,361178,14536,14784,12637,7328
69,208712,58749,170446,373842,13959,14975,12664,7408
70,195051,57868,171628,387202,13661,14542,13360,7357
71,182058,56373,172898,400420,12993,14488,13218,7333
72,169500,54931,173761,413557,12558,14000,13137,7071
73,157586,53213,174280,426670,11914,13632,13113,6902
74,146424,51074,174240,440011,11162,13301,13341,6793
75,135897,48829,173805,453218,10527,12772,13207,6672
76,125998,46399,172661,466691,9899,12329,13473,6320
77,116941,43851,170924,480033,9057,11605,13342,5973
78,108464,41404,168847,493034,8477,10924,13001,5599
79,100785,38597,166309,506058,7679,10486,13024,5382
80,93755,35858,163325,518811,7030,9769,12753,5067
81,87373,33315,159681,531380,6382,8925,12569,4613
82,81556,30922,155471,543800,5817,8210,12420,4329
83,76284,28664,151178,555623,5272,7530,11823,3986
84,71433,26354,146905,567057,4851,7161,11434,3737
85,67172,24088,142246,578243,4261,6527,11186,3386
86,63273,21963,137133,589380,3899,6024,11137,3181
87,59794,20042,132152,599761,3479,5400,10381,2855
88,56539,18285,127070,609855,3255,5012,10094,2661
89,53657,16627,121749,619716,2882,4540,9861,2475
90,51197,14960,116510,629082,2460,4127,9366,2221
91,48908,13519,111097,638225,2289,3730,9143,2038
92,46838,12111,106130,646670,2070,3478,8445,1860
93,44904,10960,101072,654813,1934,3085,8143,1665
94,43326,9817,96107,662499,1578,2721,7686,1466
95,41880,8716,91325,669828,1446,2547,7329,1377
96,40570,7870,86423,676886,1310,2156,7058,1175
97,39475,6953,81785,683536,1095,2012,6650,1142
98,38434,6317,77260,689738,1041,1677,6202,895
99,37515,5662,72956,695616,919,1574,5878,855
100,36683,5079,68773,701214,832,1415,5598,767
101,35955,4523,64792,706479,728,1284,5265,707
102,35293,4023,61001,711432,662,1162,4953,616
103,34657,3711,57181,716200,636,948,4768,520
104,34123,3310,53671,720645,534,935,4445,531
105,33641,2972,50402,724734,482,820,4089,464
106,33226,2617,47340,728566,415,770,3832,435
107,32829,2413,44306,732201,397,601,3635,318
108,32452,2191,41533,735573,377,599,3372,336
109,32104,1977,38860,738808,348,562,3235,304
110,31521,2067,36249,741912,583,493,3104,254
111,30985,2096,33884,744784,536,507,2872,293
112,30533,2024,31836,747356,452,524,2572,296
