Day,Susceptible,Infected,Recovered,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Season_Index,Intervention_Flag,Quarantine_Fraction,Reporting_Prob,MultiWave_Flag
0,318776,4632,297,1099,297,546,0.29655576803920003,1.0,0,0.0,0.5151094064289428,0
1,317264,5771,670,1512,373,833,0.3179510700001874,1.0261321158169134,0,0.0,0.5615140085582245,0
2,315471,7112,1122,1793,452,798,0.3258123533672318,1.05197792270444,0,0.0,0.43342767608620614,0
3,313349,8710,1646,2122,524,1137,0.3053699734900745,1.0772542485937369,0,0.0,0.5265816335168904,0
4,310304,11092,2309,3045,663,1685,0.3574453402086475,1.10168416076895,0,0.0,0.5640574420264165,0
5,306589,13950,3166,3715,857,1772,0.34923486071425613,1.125,0,0.0,0.4782327273402687,0
6,302114,17408,4183,4475,1017,2401,0.34279235229623267,1.1469463130731183,0,0.0,0.5400576060149844,0
7,296649,21565,5491,5465,1308,2533,0.3394934266359201,1.1672826515897146,0,0.0,0.45984279620820123,0
8,289012,27565,7128,7637,1637,4040,0.38782273704368925,1.1857862063693485,0,0.0,0.5299209343224939,0
9,279644,34806,9255,9368,2127,4455,0.39036748326668474,1.2022542485937369,0,0.0,0.47973516603780647,0
10,269185,42633,11887,10459,2632,6132,0.35225738320688244,1.2165063509461096,0,0.0,0.5870982779602744,0
11,255709,52828,15168,13476,3281,6686,0.38552532486623425,1.2283863644106503,0,0.0,0.4949937308453569,0
12,240864,63611,19230,14845,4062,8449,0.3662656539264325,1.2377641290737884,0,0.0,0.5751683604764651,0
13,225519,74109,24077,15345,4847,8473,0.3334915697914944,1.2445369001834514,0,0.0,0.545321496815374,0
14,204600,89274,29831,20919,5754,12054,0.4248934941466673,1.2486304738420684,0,0.0,0.5704445166558508,0
15,183807,103191,36707,20793,6827,11739,0.3892324275839183,1.25,0,0.0,0.5589918843891715,0
16,162414,116509,44782,21393,8075,11410,0.38878913279379973,1.2486304738420684,0,0.0,0.529096213588668,0
17,141923,128047,53735,20491,8953,11434,0.3733297262973017,1.2445369001834514,0,0.0,0.5599423942660792,0
18,123603,136587,63515,18320,9780,9403,0.3521625387093257,1.2377641290737884,0,0.0,0.508687935572429,0
19,106096,143300,74309,17507,10794,8962,0.3631601243859341,1.2283863644106503,0,0.0,0.5091912543954769,0
20,88388,150146,85171,17708,10862,9701,0.41140441833155506,1.2165063509461096,0,0.0,0.5435156933990428,0
21,74414,152644,96647,13974,11476,7424,0.37349246269564723,1.2022542485937369,0,0.0,0.5330581790321502,0
22,62276,152946,108483,12138,11836,7210,0.3753928946509018,1.1857862063693485,0,0.0,0.5957832614974388,0
23,52269,151195,120241,10007,11758,5771,0.3725567627047053,1.1672826515897146,0,0.0,0.5780323816500548,0
24,44412,147476,131817,7857,11576,4235,0.347864412304213,1.1469463130731183,0,0.0,0.5413234795815769,0
25,37474,142962,143269,6938,11452,4182,0.3679074514957856,1.125,0,0.0,0.6016346495251242,0
26,32356,137096,154253,5118,10984,2860,0.3372464512846532,1.10168416076895,0,0.0,0.549617911072683,0
27,27959,130985,164761,4397,10508,2304,0.3570408044473378,1.0772542485937369,0,0.0,0.5169168801370441,0
28,24540,124549,174616,3419,9855,1530,0.33460003099832036,1.05197792270444,0,0.0,0.43943242383032577,0
29,21613,117664,184428,2927,9812,1480,0.3460234127025643,1.0261321158169132,0,0.0,0.49388070677564133,0
30,19178,111139,193388,2435,8960,1296,0.3335658174644465,1.0000000000000002,0,0.0,0.5295619279137831,0
31,17202,104551,201952,1976,8564,996,0.3057502503653658,0.9738678841830868,0,0.0,0.5050626148536731,0
32,15766,98157,209782,1436,7830,856,0.27433398024793276,0.9480220772955602,0,0.0,0.5951959203018109,0
33,14383,91937,217385,1383,7603,796,0.3133687563716524,0.9227457514062631,0,0.0,0.5817358391928782,0
34,13247,86117,224341,1136,6956,598,0.29427160533103075,0.89831583923105,0,0.0,0.5211120095232209,0
35,12285,80394,231026,962,6665,481,0.2895322320543515,0.8750000000000001,0,0.0,0.501233209479006,0
36,11466,74973,237266,819,6240,408,0.26998966736309865,0.8530536869268818,0,0.0,0.5043000337268941,0
37,10799,69896,243010,667,5744,395,0.26368736828804806,0.8327173484102854,0,0.0,0.5857145414651377,0
38,10241,65107,248357,558,5347,338,0.25190750250634597,0.8142137936306515,0,0.0,0.583088501390543,0
39,9737,60470,253498,504,5141,252,0.2623111750122501,0.7977457514062631,0,0.0,0.49218749520955846,0
40,9256,56268,258181,481,4683,314,0.267375557427445,0.7834936490538904,0,0.0,0.6770285096246689,0
41,8805,52416,262484,451,4303,234,0.26682270968568533,0.7716136355893499,0,0.0,0.5163434902862518,0
42,8474,48594,266637,331,4153,198,0.24082392419668094,0.7622358709262116,0,0.0,0.5840357316011805,0
43,8195,45082,270428,279,3791,167,0.2303715425896399,0.7554630998165486,0,0.0,0.5549822853317817,0
44,7914,41842,273949,281,3521,172,0.25034467288723605,0.7513695261579316,0,0.0,0.6257404324447464,0
45,7670,38814,277221,244,3272,146,0.2237038055980863,0.75,0,0.0,0.556926049704738,0
46,7479,36055,280171,191,2950,101,0.22631644170685403,0.7513695261579316,0,0.0,0.5793747278493507,0
47,7280,33570,282855,199,2684,97,0.24158650534902265,0.7554630998165486,0,0.0,0.48984195500917116,0
48,7089,31053,285563,191,2708,99,0.2549879781164941,0.7622358709262116,0,0.0,0.5032949275861837,0
49,6944,28791,287970,145,2407,63,0.25483524509872046,0.7716136355893497,0,0.0,0.49483652096192077,0
50,6764,26697,290244,180,2274,107,0.25180699872698287,0.7834936490538904,0,0.0,0.5429418225330928,0
51,6600,24705,292400,164,2139,103,0.28725954162650463,0.7977457514062631,0,0.0,0.5851002606828999,0
52,6466,22895,294344,134,1944,78,0.26258046096202814,0.8142137936306515,0,0.0,0.5590311370945714,0
53,6330,21206,296169,136,1825,76,0.3061688361744294,0.8327173484102854,0,0.0,0.5377245951326178,0
54,6193,19736,297776,137,1607,67,0.30374284726928735,0.8530536869268817,0,0.0,0.5527177739325662,0
55,6059,18367,299279,134,1503,71,0.291113722084752,0.8750000000000001,0,0.0,0.5312244688245128,0
56,5958,17088,300659,101,1380,48,0.29823482577140215,0.89831583923105,0,0.0,0.4945020811645593,0
57,5869,15881,301955,89,1296,49,0.29689994462777625,0.9227457514062631,0,0.0,0.5724605114211194,0
58,5777,14719,303209,92,1254,55,0.3322914409435625,0.9480220772955602,0,0.0,0.6044118548483387,0
59,5699,13602,304404,78,1195,37,0.3287277150966251,0.9738678841830867,0,0.0,0.5027845903039403,0
60,5623,12612,305470,76,1066,49,0.3491307365362417,0.9999999999999997,0,0.0,0.6522525129059316,0
61,5544,11736,306425,79,955,47,0.3694136941962256,1.0261321158169132,0,0.0,0.5714217419710728,0
62,5482,10921,307302,62,877,31,0.347162342031724,1.0519779227044397,0,0.0,0.5217344161699754,0
63,5400,10199,308106,82,804,43,0.3881636194294599,1.0772542485937369,0,0.0,0.597590912385915,0
64,5339,9424,308942,61,836,37,0.34390193959527776,1.1016841607689498,0,0.0,0.5759048713222871,0
65,5280,8747,309678,59,736,38,0.436890468525381,1.1249999999999998,0,0.0,0.581801559029728,0
66,5228,8134,310343,52,665,24,0.368306580923933,1.1469463130731183,0,0.0,0.5443800710056155,0
67,5174,7560,310971,54,628,37,0.4110677232703695,1.1672826515897143,0,0.0,0.6556628211752341,0
68,5108,7035,311562,66,591,41,0.427369230261304,1.1857862063693485,0,0.0,0.5531548020611725,0
69,5054,6565,312086,54,519,35,0.4376436842371715,1.2022542485937369,0,0.0,0.6193601754692717,0
70,5012,6120,312573,42,487,18,0.39395064581225764,1.2165063509461096,0,0.0,0.5208570618319391,0
71,4972,5691,313042,40,469,21,0.4173336765965082,1.2283863644106503,0,0.0,0.5932005570524663,0
72,4944,5297,313464,28,422,15,0.42604759234448153,1.2377641290737884,0,0.0,0.5202012813124862,0
73,4906,4918,313881,38,417,27,0.43671417765106324,1.2445369001834514,0,0.0,0.6191539545949633,0
74,4879,4578,314248,27,367,12,0.41952932726280073,1.2486304738420684,0,0.0,0.6032446288683446,0
75,4854,4260,314591,25,343,13,0.4822116749066277,1.25,0,0.0,0.5956316004221641,0
76,4826,3954,314925,28,334,17,0.46279334402479344,1.2486304738420684,0,0.0,0.6398647583028975,0
77,4797,3687,315221,29,296,15,0.4596208900603716,1.2445369001834514,0,0.0,0.4876019845075403,0
78,4779,3432,315494,18,273,7,0.4376801421699128,1.2377641290737884,0,0.0,0.566799397268945,0
79,4743,3189,315773,36,279,21,0.4620784373894483,1.22838636441065,0,0.0,0.5341177416822823,0
80,4713,2989,316003,30,230,20,0.45355201152553243,1.2165063509461098,0,0.0,0.6953275217485573,0
81,4697,2765,316243,16,240,10,0.45645418099204654,1.2022542485937369,0,0.0,0.5889660376788486,0
82,4676,2579,316450,21,207,16,0.4263954240401483,1.1857862063693487,0,0.0,0.7167727352953993,0
83,4658,2403,316644,18,194,9,0.40876042208985947,1.1672826515897143,0,0.0,0.49195988215363734,0
84,4642,2253,316810,16,166,7,0.3733199059422492,1.1469463130731183,0,0.0,0.6067745781050917,0
85,4627,2114,316964,15,154,11,0.40475658537496656,1.125,0,0.0,0.6638580876163842,0
86,4618,1953,317134,9,153,7,0.4370614030915902,1.1016841607689503,0,0.0,0.5712658850786627,0
87,4605,1823,317277,13,143,11,0.4085375075579984,1.0772542485937369,0,0.0,0.5534476588793252,0
88,4594,1710,317401,11,124,5,0.40671970064547097,1.0519779227044401,0,0.0,0.5272807121480894,0
89,4586,1570,317549,8,148,5,0.38495662516324675,1.0261321158169132,0,0.0,0.570785751382456,0
90,4576,1466,317663,10,114,5,0.37237475776407947,1.0,0,0.0,0.6623365983734495,0
91,4569,1380,317756,7,93,5,0.3511350422278257,0.9738678841830866,0,0.0,0.5441565795961526,0
92,4563,1278,317864,6,108,3,0.38386489307309185,0.9480220772955604,0,0.0,0.5297180085569534,0
93,4559,1195,317951,4,87,3,0.34570530006582373,0.9227457514062632,0,0.0,0.4937379291887447,0
