Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Season_Index,Intervention_Flag,Quarantine_Fraction,Reporting_Prob,MultiWave_Flag,Rt
0,189138,200,2209,694,196,1,182,0,0.1709294636628866,1.0,0,0.5,0.33,0,2.1021853931021663
1,188443,392,2011,1403,185,1,199,1,0.15961664834792905,1.0209056926535307,0,0.5,0.3344537815126051,0,1.9558407416293508
2,187741,586,1873,2055,194,6,144,2,0.18337808762822347,1.0415823381635518,0,0.5,0.3389075630252101,0,2.238627621088811
3,187088,540,1923,2713,147,202,152,68,0.17562399737396972,1.0618033988749895,0,0.5,0.34336134453781514,0,2.1365107485526416
4,186403,533,1982,3352,181,194,135,60,0.1766892049042655,1.08134732861516,0,0.5,0.3478151260504202,0,2.1415992492151448
5,185747,496,2033,4004,153,200,149,67,0.15674724427465145,1.1,0,0.5,0.3522689075630252,0,1.8932022606512102
6,185027,565,2053,4641,219,156,136,48,0.19955827048571084,1.1175570504584946,0,0.5,0.35672268907563026,0,2.4009334953624464
7,184334,582,2082,5298,194,187,158,79,0.19762643901167481,1.1338261212717717,0,0.5,0.3611764705882353,0,2.368785763903358
8,183648,614,2076,5964,189,163,169,69,0.18694642544732404,1.1486289650954788,0,0.5,0.3656302521008403,0,2.232434165592694
9,183013,536,2182,6578,140,225,119,84,0.1761750996144965,1.1618033988749894,0,0.5,0.3700840336134454,0,2.0965332654749793
10,182298,573,2258,7200,221,204,128,67,0.21855061791231675,1.1732050807568877,0,0.5,0.37453781512605044,0,2.590652930784265
11,181616,576,2291,7853,191,195,162,85,0.18791340157734904,1.18270909152852,0,0.5,0.37899159663865545,0,2.2191525222169513
12,180953,609,2276,8504,174,147,162,50,0.1724007641081447,1.1902113032590307,0,0.5,0.3834453781512605,0,2.02852453934624
13,180265,575,2378,9130,201,241,139,86,0.18828277227675774,1.195629520146761,0,0.5,0.38789915966386557,0,2.2069743664343395
14,179508,668,2363,9829,271,198,213,92,0.23479803312482497,1.1989043790736547,0,0.5,0.3923529411764706,0,2.7406498607292
15,178809,709,2387,10469,215,180,156,80,0.21463988960870325,1.2,0,0.5,0.39680672268907563,0,2.495600721316677
16,178070,765,2439,11106,257,207,155,87,0.22071872420905397,1.1989043790736547,0,0.5,0.4012605042016807,0,2.5556726640630685
17,177382,700,2571,11745,208,291,159,115,0.19091729397383056,1.195629520146761,0,0.5,0.40571428571428575,0,2.2020648733630805
18,176659,730,2661,12354,245,221,131,89,0.21811666032167243,1.1902113032590307,0,0.5,0.4101680672268908,0,2.5055316834363963
19,175903,767,2747,13007,280,263,177,105,0.2549737514899998,1.1827090915285203,0,0.5,0.4146218487394958,0,2.916379333758078
20,175201,784,2766,13688,228,226,207,103,0.1847682093719137,1.1732050807568877,0,0.5,0.4190756302521009,0,2.104937098811399
21,174463,805,2846,14331,266,251,171,102,0.1875462827192945,1.1618033988749894,0,0.5,0.42352941176470593,0,2.1275858269299373
22,173784,720,2949,14998,209,300,197,111,0.17218835549062333,1.1486289650954788,0,0.5,0.42798319327731094,0,1.9457581547279441
23,173075,738,2987,15671,241,243,205,91,0.19051724706093964,1.1338261212717717,0,0.5,0.432436974789916,0,2.1440945332216734
24,172306,774,3064,16333,302,272,195,126,0.22298998426680888,1.1175570504584946,0,0.5,0.43689075630252105,0,2.4983946964328205
25,171566,841,3102,16974,276,215,177,97,0.1827170160940266,1.1,0,0.5,0.44134453781512606,0,2.038381701605563
26,170810,887,3069,17730,294,261,294,109,0.2081070196578077,1.08134732861516,0,0.5,0.4457983193277311,0,2.311401092130905
27,170153,787,3206,18361,197,308,171,137,0.1544594330562434,1.0618033988749895,0,0.5,0.4502521008403362,0,1.7089499308674614
28,169418,787,3233,19075,276,282,255,121,0.20386469161698623,1.0415823381635518,0,0.5,0.4547058823529412,0,2.245829886465501
29,168753,694,3280,19792,208,307,260,146,0.14621533077410517,1.0209056926535307,0,0.5,0.45915966386554624,0,1.6044260514499475
30,167973,830,3241,20494,325,208,247,95,0.2316730620618992,1.0000000000000002,0,0.5,0.4636134453781513,0,2.5304065870676795
31,167278,797,3271,21198,243,282,252,130,0.16080864766392025,0.9790943073464694,0,0.5,0.4680672268907563,0,1.7491357604666435
32,166567,853,3250,21883,261,214,235,95,0.19237820845180428,0.9584176618364482,0,0.5,0.47252100840336136,0,2.083627744490605
33,165887,746,3348,22578,231,344,246,149,0.17466093117824466,0.9381966011250106,0,0.5,0.4769747899159664,0,1.8840109221455317
34,165155,788,3361,23261,285,249,236,115,0.18839493817339703,0.91865267138484,0,0.5,0.48142857142857143,0,2.0231880354113816
35,164502,743,3419,23918,208,270,212,121,0.14614899717935442,0.9,0,0.5,0.4858823529411765,0,1.5632999499312148
36,163834,737,3402,24615,225,237,254,122,0.1652967935787885,0.8824429495415054,0,0.5,0.49033613445378155,0,1.7609367443654695
37,163187,658,3489,25260,206,291,204,142,0.14812394234241985,0.8661738787282284,0,0.5,0.49478991596638655,0,1.5717595676039133
38,162548,640,3429,25985,199,225,285,108,0.12751407255468813,0.8513710349045212,0,0.5,0.4992436974789916,0,1.3477676830575078
39,161823,702,3461,26622,287,231,199,116,0.19161412147080753,0.8381966011250105,0,0.5,0.5036974789915967,0,2.0162438343215165
40,161167,716,3446,27285,220,212,227,120,0.16860200770572956,0.8267949192431123,0,0.5,0.5081512605042017,0,1.76690888906795
41,160462,790,3375,27997,271,207,278,95,0.16917144752103075,0.8172909084714799,0,0.5,0.5126050420168067,0,1.7651213100121486
42,159825,708,3388,28709,205,293,280,142,0.1398597433030938,0.8097886967409693,0,0.5,0.5170588235294118,0,1.4534922876969563
43,159177,705,3373,29381,217,226,241,112,0.14263189861110273,0.8043704798532388,0,0.5,0.5215126050420168,0,1.476292013802013
44,158578,610,3414,30050,170,281,240,153,0.1407373065384084,0.8010956209263453,0,0.5,0.5259663865546218,0,1.4512006463570644
45,157970,586,3352,30750,181,211,273,119,0.1344111395478438,0.8,0,0.5,0.5304201680672269,0,1.3806550096218246
46,157375,554,3321,31429,170,223,254,120,0.1453486111869528,0.8010956209263453,0,0.5,0.5348739495798319,0,1.4873799448039584
47,156746,579,3241,32119,205,186,266,99,0.1524918603225884,0.8043704798532388,0,0.5,0.539327731092437,0,1.554241215103079
48,156165,558,3204,32766,158,187,224,106,0.12758296500388625,0.8097886967409693,0,0.5,0.543781512605042,0,1.2955425707094337
49,155524,593,3194,33388,220,191,201,108,0.1694549089300096,0.8172909084714798,0,0.5,0.548235294117647,0,1.7136686973583781
50,154913,580,3121,34091,192,211,284,116,0.14010881344707338,0.8267949192431123,0,0.5,0.5526890756302522,0,1.4113301240094518
51,154335,584,3103,34692,161,166,184,96,0.1319801569156189,0.8381966011250105,0,0.5,0.5571428571428572,0,1.324489008144419
52,153722,569,3066,35371,197,226,263,127,0.15248167541423382,0.8513710349045212,0,0.5,0.5615966386554623,0,1.5241544317939182
53,153146,545,3033,36016,162,198,231,112,0.14280236697837323,0.8661738787282284,0,0.5,0.5660504201680673,0,1.4220548761203642
54,152518,596,2957,36675,215,170,246,91,0.16993926250289504,0.8824429495415054,0,0.5,0.5705042016806723,0,1.685350067002054
55,151963,535,2942,37312,144,211,226,121,0.1543590458034293,0.9,0,0.5,0.5749579831932774,0,1.5252647577344076
56,151349,580,2907,37930,205,174,209,108,0.1596096086854864,0.91865267138484,0,0.5,0.5794117647058824,0,1.5707746380061278
57,150762,544,2912,38554,179,221,216,120,0.15944007683977926,0.9381966011250105,0,0.5,0.5838655462184874,0,1.5630205102399395
58,150159,597,2808,39214,197,150,254,87,0.15374195122937198,0.9584176618364482,0,0.5,0.5883193277310925,0,1.5011325697743443
59,149557,594,2860,39786,197,219,167,129,0.1781200855963958,0.9790943073464693,0,0.5,0.5927731092436975,0,1.7321876262471758
60,148949,620,2787,40447,205,185,258,124,0.17556084494773536,0.9999999999999998,0,0.5,0.5972268907563025,0,1.7003586928385053
61,148344,627,2798,41040,204,203,192,123,0.21560640174194332,1.0209056926535305,0,0.5,0.6016806722689076,0,2.0797298671949345
62,147685,693,2836,41618,259,216,178,127,0.21937237946248084,1.0415823381635516,0,0.5,0.6061344537815126,0,2.106656002317235
63,147059,716,2841,42222,228,211,206,121,0.22415529953807897,1.0618033988749895,0,0.5,0.6105882352941177,0,2.1434626055194106
64,146443,735,2804,42865,220,210,247,122,0.1880656846008401,1.08134732861516,0,0.5,0.6150420168067228,0,1.7908263183015167
65,145805,702,2887,43459,243,282,199,178,0.197373157719385,1.0999999999999999,0,0.5,0.6194957983193278,0,1.8712671703839894
66,145192,704,2917,44056,220,234,204,150,0.2060310122889417,1.1175570504584946,0,0.5,0.6239495798319328,0,1.9451387055660763
67,144574,708,2963,44630,227,229,183,143,0.2066776174640992,1.1338261212717715,0,0.5,0.6284033613445379,0,1.9429379686462653
68,143921,729,3048,45183,264,249,164,163,0.23767796713235334,1.1486289650954788,0,0.5,0.6328571428571429,0,2.2242745055332653
69,143307,739,3108,45746,227,236,176,144,0.23105608607414377,1.1618033988749894,0,0.5,0.6373109243697479,0,2.1530797123735486
70,142658,775,3143,46330,263,233,198,143,0.2023492014158722,1.1732050807568877,0,0.5,0.641764705882353,0,1.877037363942335
71,142034,757,3172,46955,240,270,241,165,0.222189051605691,1.18270909152852,0,0.5,0.646218487394958,0,2.052060992462567
72,141444,724,3241,47515,207,246,177,154,0.1890787716344176,1.1902113032590307,0,0.5,0.650672268907563,0,1.7390120590744296
73,140765,764,3289,48117,298,269,221,187,0.2349437466484958,1.195629520146761,0,0.5,0.6551260504201681,0,2.150472368402349
74,140152,766,3331,48706,234,252,210,171,0.19297334528193608,1.1989043790736547,0,0.5,0.6595798319327731,0,1.7586196321158565
75,139489,844,3297,49331,285,213,247,143,0.21796274838218635,1.2,0,0.5,0.6640336134453781,0,1.9769583876773078
76,138882,772,3361,49952,231,309,245,212,0.19782191419261347,1.1989043790736547,0,0.5,0.6684873949579833,0,1.7864696965512794
77,138239,797,3366,50575,269,254,249,179,0.21262262499295956,1.195629520146761,0,0.5,0.6729411764705883,0,1.911240549142833
78,137600,779,3424,51180,267,291,233,189,0.22782095772241143,1.1902113032590307,0,0.5,0.6773949579831933,0,2.0383905578692216
79,137061,717,3423,51788,169,237,238,158,0.14874050742836512,1.18270909152852,0,0.5,0.6818487394957984,0,1.3256181652135364
80,136389,760,3438,52421,303,279,264,183,0.2278577048482411,1.173205080756888,0,0.5,0.6863025210084034,0,2.0207768385309435
81,135804,710,3488,53012,217,273,223,201,0.165725279724923,1.1618033988749894,0,0.5,0.6907563025210084,0,1.4634457052635463
82,135189,790,3439,53602,249,175,224,122,0.20959295394778618,1.148628965095479,0,0.5,0.6952100840336135,0,1.8424398819190517
83,134577,731,3491,54236,248,322,270,233,0.2140816602114428,1.1338261212717715,0,0.5,0.6996638655462185,0,1.873378788720332
84,133909,820,3451,54861,306,223,263,153,0.2186085366174232,1.1175570504584946,0,0.5,0.7041176470588235,0,1.9034969080910003
85,133302,831,3489,55438,247,255,217,183,0.2283704794527742,1.0999999999999999,0,0.5,0.7085714285714286,0,1.9794836588889246
86,132684,847,3520,56029,259,263,232,197,0.22496024612402377,1.0813473286151603,0,0.5,0.7130252100840336,0,1.9408842059187645
87,132132,735,3668,56551,194,312,164,225,0.18293997320310926,1.0618033988749895,0,0.5,0.7174789915966386,0,1.5717805548436057
88,131604,647,3634,57207,172,266,300,179,0.1396569123066521,1.0415823381635523,0,0.5,0.7219327731092438,0,1.1951070745857073
89,130951,675,3635,57839,299,279,278,199,0.21812138687385155,1.0209056926535305,0,0.5,0.7263865546218488,0,1.8573012945362557
90,130389,691,3584,58442,210,200,251,156,0.1706618253781297,1.0,0,0.5,0.7308403361344538,0,1.4469470305528722
91,129783,774,3542,59013,255,178,220,137,0.18745629680691744,0.9790943073464693,0,0.5,0.7352941176470589,0,1.5819513884295975
92,129232,689,3546,59666,201,307,303,223,0.15874444782671202,0.9584176618364483,0,0.5,0.7397478991596639,0,1.3339633628418743
93,128673,690,3490,60286,211,216,272,163,0.17352582876744632,0.9381966011250106,0,0.5,0.7442016806722689,0,1.4518670387566337
94,128100,674,3528,60856,226,261,223,200,0.17644722266527382,0.91865267138484,0,0.5,0.748655462184874,0,1.4697357169976992
95,127576,649,3517,61434,179,222,233,163,0.16211563996487077,0.8999999999999999,0,0.5,0.753109243697479,0,1.3448355721715985
96,127042,629,3483,62028,191,217,251,163,0.15611019058301687,0.8824429495415054,0,0.5,0.757563025210084,0,1.2895965656827824
97,126484,613,3462,62636,216,245,266,181,0.16381501351943512,0.8661738787282286,0,0.5,0.7620168067226891,0,1.3473008548081675
98,125952,613,3406,63230,191,197,253,151,0.1623864218150996,0.8513710349045213,0,0.5,0.7664705882352941,0,1.3299339484055681
99,125492,555,3384,63788,121,197,219,150,0.13690442607592512,0.8381966011250106,0,0.5,0.7709243697478991,0,1.11714313637404
100,125001,485,3419,64320,153,229,194,176,0.13948614655957317,0.8267949192431122,0,0.5,0.7753781512605042,0,1.1337566718833365
101,124504,456,3332,64941,160,197,284,144,0.157842320413773,0.8172909084714799,0,0.5,0.7798319327731092,0,1.2778564018183634
102,123998,494,3231,65516,171,139,240,104,0.16783441679481292,0.8097886967409693,0,0.5,0.7842857142857143,0,1.3532280643143852
103,123508,498,3175,66064,157,159,215,114,0.14249744899838362,0.804370479853239,0,0.5,0.7887394957983194,0,1.1443990024561195
104,123013,515,3096,66644,162,168,247,132,0.14013005279842952,0.8010956209263453,0,0.5,0.7931932773109245,0,1.1208760446074884
105,122519,506,3034,67215,162,177,239,139,0.1698559292513661,0.8,0,0.5,0.7976470588235294,0,1.3531920787435836
106,122087,453,2981,67761,102,163,216,120,0.13203334511844134,0.8010956209263453,0,0.5,0.8021008403361345,0,1.0481618300861406
107,121616,425,2951,68305,142,185,215,143,0.16092298334636315,0.8043704798532388,0,0.5,0.8065546218487396,0,1.272577036991725
108,121133,419,2857,68894,156,168,262,142,0.16857707580436163,0.8097886967409692,0,0.5,0.8110084033613445,0,1.3278110579840494
109,120691,431,2764,69423,116,110,203,89,0.1287651756648835,0.8172909084714797,0,0.5,0.8154621848739496,0,1.0105285831068616
110,120241,413,2741,69928,125,157,180,125,0.1753741981992067,0.8267949192431123,0,0.5,0.8199159663865547,0,1.3711771576129608
111,119763,424,2661,70494,154,162,242,141,0.17245512827006093,0.8381966011250105,0,0.5,0.8243697478991596,0,1.342993997417712
112,119299,457,2616,70984,141,122,167,107,0.1728120204350039,0.8513710349045212,0,0.5,0.8288235294117647,0,1.3405593402039375
113,118866,436,2569,71491,112,139,186,120,0.16526585420630482,0.8661738787282282,0,0.5,0.8332773109243699,0,1.277368119530592
114,118432,383,2554,71999,114,173,188,151,0.1373210273611946,0.8824429495415053,0,0.5,0.8377310924369747,0,1.057502491237398
115,117989,370,2564,72463,124,155,145,130,0.1628849301426126,0.9,0,0.5,0.8421848739495799,0,1.2496768309913802
116,117534,413,2522,72940,138,118,160,98,0.17778964088949833,0.9186526713848401,0,0.5,0.846638655462185,0,1.358767846052918
