Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases
0,221569,422,1690,138,422,0,138,0
1,221168,699,1697,257,401,126,119,19
2,220787,847,1830,358,381,234,101,44
3,220407,939,1965,512,380,289,154,41
4,219978,1094,2070,683,429,276,171,47
5,219552,1133,2299,843,426,389,160,61
6,219065,1233,2507,1024,487,389,181,58
7,218532,1347,2726,1226,533,421,202,73
8,217917,1483,3002,1430,615,480,204,84
9,217292,1615,3281,1646,625,495,216,73
10,216633,1714,3596,1893,659,562,247,103
11,215895,1881,3899,2162,738,572,269,95
12,215047,2110,4204,2476,848,619,314,98
13,214150,2291,4613,2784,897,717,308,124
14,213196,2498,5034,3110,954,747,326,103
15,212107,2823,5392,3516,1089,764,406,122
16,210909,3039,5976,3915,1198,983,399,146
17,209619,3333,6502,4386,1290,997,471,178
18,208147,3733,7065,4895,1472,1072,509,184
19,206551,4110,7722,5458,1596,1220,563,202
20,204699,4632,8467,6045,1852,1332,587,222
21,202709,5094,9321,6721,1990,1530,676,284
22,200472,5608,10367,7398,2237,1723,677,297
23,197879,6281,11514,8173,2593,1922,775,356
24,194959,7093,12746,9051,2920,2110,878,359
25,191757,7805,14229,10058,3202,2490,1007,422
26,188110,8880,15811,11050,3647,2574,992,456
27,184044,9951,17557,12300,4066,2996,1250,513
28,179488,11132,19583,13649,4556,3375,1349,552
29,174422,12392,21960,15079,5066,3807,1430,694
30,170005,12712,24360,16777,4417,4098,1698,708
31,166768,11743,26681,18663,3237,4207,1886,736
32,163253,11397,28542,20663,3515,3861,2000,651
33,159508,11371,30135,22841,3745,3771,2178,699
34,155510,11526,31739,25082,3998,3845,2241,697
35,151188,12002,33195,27473,4322,3847,2391,643
36,146756,12374,34727,30001,4432,4060,2528,725
37,142042,12949,36135,32734,4714,4141,2733,714
38,137179,13459,37680,35544,4863,4355,2810,719
39,132322,13831,39234,38475,4857,4485,2931,840
40,127330,14267,40772,41495,4992,4558,3020,795
41,122104,14777,42444,44539,5226,4716,3044,848
42,116813,15222,44030,47799,5291,4846,3260,841
43,111354,15674,45683,51155,5459,5009,3356,895
44,106011,15726,47508,54621,5343,5291,3466,911
45,100597,15893,48952,58424,5414,5247,3803,956
46,95135,16068,50496,62168,5462,5288,3744,929
47,89569,16324,51918,66057,5566,5311,3889,960
48,84077,16297,53511,69983,5492,5519,3926,979
49,78646,16346,54711,74165,5431,5382,4182,952
50,73454,16105,55932,78378,5192,5434,4213,927
51,68226,16065,56977,82601,5228,5268,4223,930
52,63197,15854,57825,86993,5029,5240,4392,911
53,58421,15445,58600,91404,4776,5186,4411,906
54,53833,14915,59189,95934,4588,5119,4530,908
55,49442,14348,59621,100461,4391,4959,4527,931
56,45326,13724,59756,105066,4116,4740,4605,813
57,41449,13110,59623,109692,3877,4493,4626,791
58,37837,12351,59449,114239,3612,4373,4547,817
59,34508,11552,59058,118758,3329,4128,4519,779
60,31352,10878,58275,123371,3156,3830,4613,704
61,28530,10067,57405,127876,2822,3635,4505,671
62,25932,9333,56371,132244,2598,3334,4368,637
63,23483,8718,55007,136673,2449,3065,4429,503
64,21258,8040,53770,140814,2225,2904,4141,531
