Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Seasonality,Rt
0,749638,961,3479,332,961,0,332,0,0.4711149355769115,1.2451299061734102,0.4687350373524929
1,748813,1624,3359,614,825,162,282,20,0.46172163344671563,1.2202712161381406,0.4588010257734243
2,747967,2236,3347,860,846,234,246,25,0.4516390416003975,1.193587289434408,0.44828831226775684
3,747189,2674,3408,1139,778,340,279,55,0.44095091867306707,1.1652992374826339,0.43718499991667387
4,746375,3112,3535,1388,814,376,249,50,0.4297460626397745,1.135641463990243,0.4256326543891921
5,745605,3454,3707,1644,770,428,256,64,0.4181175781761808,1.1048597226087218,0.4136643302862461
6,744806,3778,3864,1962,799,475,318,81,0.4061621091230589,1.0732090805414647,0.4014216399208631
7,744014,4043,4118,2235,792,527,273,84,0.3939790426315995,1.0409518049765976,0.3889635010488608
8,743219,4217,4434,2540,795,621,305,97,0.3816696918526486,1.0083551898584582,0.376410167036567
9,742387,4444,4692,2887,832,605,347,95,0.369336464272374,0.9756893410057936,0.3638576869872477
10,741478,4742,4931,3259,909,611,372,102,0.3570820229890051,0.9432249379298796,0.3513912220155334
11,740611,4941,5211,3647,867,668,388,99,0.3450084483703563,0.911230990898843,0.33909435755193473
12,739753,5084,5519,4054,858,715,407,111,0.3332164076304888,0.8799726118338582,0.32712150802829226
13,738848,5299,5795,4468,905,690,414,100,0.32180433991729657,0.8497088175082762,0.31555218762587967
14,737945,5465,6092,4908,903,737,440,111,0.3108676645126995,0.8206903832530653,0.3044550737528386
15,737034,5618,6333,5425,911,758,517,107,0.3004980197156239,0.793157764953441,0.2939396497382671
16,736056,5752,6708,5894,978,844,469,141,0.29078253990753217,0.7673391065556727,0.2840850711393116
17,735131,5880,6974,6425,925,797,531,129,0.2818031781936639,0.7434483495944935,0.27494720394548783
18,734098,6045,7354,6913,1033,868,488,117,0.2736360818732005,0.7216834604061652,0.2666432927765111
19,733135,6179,7552,7544,963,829,631,124,0.2663510278210244,0.70222478971707,0.2591796991309213
20,732145,6295,7853,8117,990,874,573,129,0.26001092466497044,0.6852335782007919,0.25267839669974296
21,731101,6437,8169,8703,1044,902,586,147,0.2546713884171832,0.6708506203871151,0.24715523875969111
22,730044,6586,8410,9370,1057,908,667,148,0.25038039796695916,0.6591950979942081,0.24264439672597368
23,728995,6707,8697,10011,1049,928,641,133,0.24717803656416312,0.6503635923513733,0.23919465877367468
24,727877,6807,9028,10698,1118,1018,687,166,0.24509632511347154,0.6444292840957345,0.23683937848927664
25,726727,6972,9365,11346,1150,985,648,152,0.24415915275354508,0.6414413467744307,0.23557194579710256
26,725582,7147,9614,12067,1145,970,721,168,0.24438230980059036,0.6414245393771182,0.23541472522163498
27,724379,7328,9941,12762,1203,1022,695,152,0.24577362767567754,0.6443790011751842,0.2363819677843261
28,723107,7566,10213,13524,1272,1034,762,176,0.24833322988517478,0.650280250567701,0.23844776279608307
29,721845,7758,10488,14319,1262,1070,795,160,0.2520538974497033,0.6590793879436807,0.24159533625371163
30,720521,7998,10745,15146,1324,1084,827,160,0.25692155133306205,0.6707035008796525,0.24583122867143087
31,719126,8243,11059,15982,1395,1150,836,179,0.26291585334770123,0.6850562683149666,0.25110535858477356
32,717596,8574,11445,16795,1530,1199,813,191,0.2700109256286059,0.702018758698437,0.25738242719952925
33,716005,8925,11794,17686,1591,1240,891,219,0.2781761869726234,0.7214504154926318,0.2646016344783429
34,714332,9315,12167,18596,1673,1283,910,211,0.28737730201049044,0.7431902218696077,0.2727476904150544
35,712626,9712,12561,19511,1706,1309,915,213,0.29757723616226,0.7670580349470573,0.2817684578177112
