Day,Reported_Cases
0,0
1,23
2,42
3,48
4,62
5,75
6,74
7,91
8,95
9,88
10,96
11,97
12,112
13,114
14,114
15,123
16,113
17,130
18,133
19,130
20,132
21,143
22,164
23,170
24,192
25,175
26,204
27,208
28,217
29,193
30,211
31,252
32,240
33,258
34,235
35,268
36,289
37,314
38,382
39,353
40,348
41,355
42,389
43,452
44,431
45,463
46,534
47,526
48,537
49,475
50,518
51,479
52,485
53,407
54,487
55,446
56,509
57,470
58,492
59,530
60,528
61,512
62,529
63,633
64,590
65,569
66,600
67,656
68,657
69,720
70,673
71,718
72,728
73,696
74,741
75,686
76,733
77,701
78,659
79,688
80,688
81,616
82,583
83,615
84,595
85,603
86,523
87,487
88,434
89,432
90,391
91,369
92,314
93,307
94,246
95,267
96,231
97,239
98,213
99,186
100,192
101,147
102,144
103,123
104,121
105,105
106,99
107,87
108,76
109,79
110,67
111,76
112,57
113,55
114,50
115,41
116,50
117,32
118,48
119,37
120,24
121,30
122,32
123,26
124,26
125,27
126,18
127,19
128,12
129,20
130,17
131,14
132,16
133,16
134,8
135,9
136,8
137,7
138,7
139,4
140,9
141,4
142,3
143,5
144,4
145,2
146,2
147,3
148,2
149,1
150,3
151,3
152,2
153,2
154,3
155,3
156,3
157,1
158,5
159,1
160,0
161,1
162,2
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,0
171,2
172,1
173,1
174,0
175,0
176,0
177,1
178,0
179,0
180,1
181,0
182,4
183,0
184,0
185,0
186,1
187,1
188,1
189,0
190,0
191,0
192,1
193,1
194,0
195,2
196,5
197,2
198,3
199,1
200,2
201,2
202,1
203,4
204,7
205,2
206,1
207,2
208,0
209,2
210,2
211,1
212,2
