Day,Reported_Cases
0,0
1,57
2,100
3,110
4,161
5,186
6,184
7,248
8,278
9,277
10,329
11,393
12,409
13,475
14,531
15,562
16,650
17,709
18,811
19,870
20,961
21,990
22,1225
23,1312
24,1498
25,1607
26,1829
27,1993
28,2114
29,2397
30,2523
31,2869
32,3114
33,3390
34,3742
35,3888
36,4300
37,4089
38,3788
39,3556
40,3468
41,3338
42,3335
43,3407
44,3300
45,3396
46,3249
47,3228
48,3255
49,3246
50,3318
51,3290
52,3222
53,3278
54,3331
55,3303
56,3174
57,3068
58,3141
59,3257
60,3290
61,3338
62,3292
63,3204
64,3163
65,3206
66,3199
67,3109
68,3142
69,3145
70,3090
71,3025
72,2987
73,2936
74,2871
75,2839
76,2719
77,2698
78,2677
79,2429
80,2438
81,2392
82,2220
83,2213
84,2104
85,2066
86,1994
87,1935
88,1825
89,1709
90,1615
91,1582
92,1514
93,1386
94,1357
95,1308
96,1241
97,1268
98,1422
99,1465
100,1579
101,1489
102,1516
103,1425
104,1449
105,1354
106,1376
107,1249
108,1166
109,1121
110,1072
111,1074
112,950
113,856
114,921
115,816
116,794
117,676
118,640
119,681
120,588
121,541
122,513
123,509
124,418
125,403
126,361
127,331
128,313
129,282
130,257
131,253
132,245
133,205
134,194
135,183
136,149
137,147
138,157
139,123
140,112
141,103
142,103
143,95
144,70
145,71
146,62
147,69
148,62
149,54
150,56
151,48
152,46
153,37
154,44
155,35
156,25
157,38
158,27
159,41
160,16
161,20
162,23
163,24
164,15
165,19
166,11
167,15
168,17
169,18
170,16
171,12
172,12
173,13
174,11
175,13
176,9
177,8
178,6
179,7
180,4
181,4
182,3
183,6
184,2
185,3
186,6
187,4
188,7
189,3
190,4
191,2
192,0
193,3
194,3
195,2
196,0
197,3
198,1
199,1
200,0
201,0
202,1
203,10
204,11
205,11
206,7
207,8
208,5
209,1
210,8
211,15
212,11
213,13
214,7
215,6
216,7
217,23
218,17
219,8
220,7
221,11
222,6
223,4
224,12
225,11
226,17
227,11
228,10
229,10
230,6
231,23
232,13
233,8
234,3
235,9
236,4
237,3
238,16
239,16
240,9
241,8
242,9
243,7
244,3
245,26
246,11
247,11
248,6
249,11
250,4
251,4
252,21
253,15
254,16
255,5
256,4
257,5
258,5
259,24
260,14
261,13
262,12
263,7
264,5
265,4
266,19
267,8
268,13
269,9
270,7
271,3
272,4
273,14
274,15
275,11
276,11
277,8
278,2
279,3
280,25
281,14
282,10
283,6
284,8
285,5
286,2
287,16
288,13
289,17
290,14
291,6
292,5
293,2
294,19
295,10
296,9
297,9
298,3
299,8
300,4
301,27
