Day,Susceptible,Infected,Recovered,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Season_Index,Intervention_Flag,Quarantine_Fraction,Reporting_Prob,MultiWave_Flag
0,84877,119,4,44,4,31,0.6254615869993466,1.0,0,0,0.6,0
1,84803,176,21,74,17,50,0.7074003423071931,1.0261321158169134,0,0,0.6010917030567685,0
2,84702,260,38,101,17,52,0.6398283626330346,1.05197792270444,0,0,0.602183406113537,0
3,84506,422,72,196,34,113,0.728929754309702,1.0772542485937369,0,0,0.6032751091703057,0
4,84186,698,116,320,44,182,0.7681883100933887,1.10168416076895,0,0,0.6043668122270742,0
5,83672,1146,182,514,66,293,0.7888507292857235,1.125,0,0,0.6054585152838428,0
6,82888,1807,305,784,123,467,0.7049715278866265,1.1469463130731183,0,0,0.6065502183406113,0
7,81478,3044,478,1410,173,858,0.7954787387846892,1.1672826515897146,0,0,0.6076419213973799,0
8,79120,5125,755,2358,277,1443,0.8331634122066047,1.1857862063693485,0,0,0.6087336244541485,0
9,75014,8689,1297,4106,542,2528,0.8551587828400732,1.2022542485937369,0,0,0.609825327510917,0
10,68976,13832,2192,6038,895,3723,0.82570750632456,1.2165063509461096,0,0,0.6109170305676855,0
11,60451,20956,3593,8525,1401,5242,0.8024441566387203,1.2283863644106503,0,0,0.6120087336244542,0
12,50943,28376,5681,9508,2088,5834,0.6908487500166861,1.2377641290737884,0,0,0.6131004366812227,0
13,40065,36313,8622,10878,2941,6670,0.7251854897149774,1.2445369001834514,0,0,0.6141921397379912,0
14,28518,44192,12290,11547,3668,7077,0.795862093194085,1.2486304738420684,0,0,0.6152838427947598,0
15,19109,49202,16689,9409,4399,5753,0.7805582256214828,1.25,0,0,0.6163755458515283,0
16,11621,51770,21609,7488,4920,4615,0.8569605268276655,1.2486304738420684,0,0,0.617467248908297,0
17,6718,51416,26866,4903,5257,3019,0.8891281525128989,1.2445369001834514,0,0,0.6185589519650655,0
18,4073,48985,31942,2645,5076,1668,0.8321149321814767,1.2377641290737884,0,0,0.619650655021834,0
19,2374,45691,36935,1699,4993,1062,0.9011717963282925,1.2283863644106503,0,0,0.6207423580786026,0
20,1616,41811,41573,758,4638,482,0.6715180865705946,1.2165063509461096,0,0,0.6218340611353712,0
21,1109,38131,45760,507,4187,328,0.7421471592727877,1.2022542485937369,0,0,0.6229257641921397,0
22,787,34689,49524,322,3764,202,0.7434536597502508,1.1857862063693485,0,0,0.6240174672489083,0
23,566,31390,53044,221,3520,130,0.7705963119860411,1.1672826515897146,0,0,0.6251091703056768,0
24,417,28396,56187,149,3143,89,0.871499831033269,1.1469463130731183,0,0,0.6262008733624453,0
25,315,25651,59034,102,2847,57,0.7433259292098122,1.125,0,0,0.627292576419214,0
26,266,23180,61554,49,2520,30,0.6489786322563869,1.10168416076895,0,0,0.6283842794759825,0
27,222,20937,63841,44,2287,24,0.7552890358225416,1.0772542485937369,0,0,0.629475982532751,0
28,196,18907,65897,26,2056,14,0.638537824007434,1.05197792270444,0,0,0.6305676855895196,0
29,172,17037,67791,24,1894,13,0.6177837977899597,1.0261321158169132,0,0,0.6316593886462882,0
30,153,15303,69544,19,1753,16,0.7516413854681531,1.0000000000000002,0,0,0.6327510917030568,0
31,133,13773,71094,20,1550,16,0.6400079717586452,0.9738678841830868,0,0,0.6338427947598253,0
32,119,12455,72426,14,1332,11,0.5855447892572778,0.9480220772955602,0,0,0.6349344978165938,0
33,110,11232,73658,9,1232,8,0.6437079562408635,0.9227457514062631,0,0,0.6360262008733624,0
34,97,10125,74778,13,1120,7,0.6436462480696753,0.89831583923105,0,0,0.637117903930131,0
35,90,9172,75738,7,960,4,0.5389584025334235,0.8750000000000001,0,0,0.6382096069868995,0
36,79,8252,76669,11,931,7,0.5942883127029895,0.8530536869268818,0,0,0.6393013100436681,0
37,72,7470,77458,7,789,6,0.5103977705865808,0.8327173484102854,0,0,0.6403930131004366,0
38,66,6741,78193,6,735,5,0.5001069079492281,0.8142137936306515,0,0,0.6414847161572053,0
39,63,6018,78919,3,726,2,0.5516773250007408,0.7977457514062631,0,0,0.6425764192139738,0
40,60,5414,79526,3,607,2,0.5501484238011572,0.7834936490538904,0,0,0.6436681222707423,0
41,58,4875,80067,2,541,1,0.5138531849215899,0.7716136355893499,0,0,0.6447598253275109,0
42,57,4373,80570,1,503,1,0.48299684804610465,0.7622358709262116,0,0,0.6458515283842794,0
43,54,3927,81019,3,449,3,0.45386973799817,0.7554630998165486,0,0,0.646943231441048,0
44,53,3522,81425,1,406,1,0.44473986870585,0.7513695261579316,0,0,0.6480349344978166,0
45,53,3181,81766,0,341,0,0.43844277086285455,0.75,0,0,0.6491266375545851,0
46,52,2861,82087,1,321,1,0.44185955385916664,0.7513695261579316,0,0,0.6502183406113536,0
47,52,2551,82397,0,310,0,0.4280091414838448,0.7554630998165486,0,0,0.6513100436681223,0
48,52,2297,82651,0,254,0,0.4802617591277335,0.7622358709262116,0,0,0.6524017467248908,0
49,51,2088,82861,1,210,1,0.4138571779521273,0.7716136355893497,0,0,0.6534934497816594,0
50,51,1869,83080,0,219,0,0.4783738548267935,0.7834936490538904,0,0,0.6545851528384279,0
51,50,1660,83290,1,210,1,0.551557179841407,0.7977457514062631,0,0,0.6556768558951965,0
52,50,1489,83461,0,171,0,0.5564478253458424,0.8142137936306515,0,0,0.6567685589519651,0
53,49,1368,83583,1,122,0,0.5045539774235399,0.8327173484102854,0,0,0.6578602620087336,0
54,49,1224,83727,0,144,0,0.5543996521384417,0.8530536869268817,0,0,0.6589519650655021,0
55,49,1099,83852,0,125,0,0.6219583224964677,0.8750000000000001,0,0,0.6600436681222707,0
56,49,992,83959,0,107,0,0.6194166358371938,0.89831583923105,0,0,0.6611353711790393,0
57,49,884,84067,0,108,0,0.5673327950686744,0.9227457514062631,0,0,0.6622270742358078,0
58,49,797,84154,0,87,0,0.5776327140658865,0.9480220772955602,0,0,0.6633187772925764,0
59,49,733,84218,0,64,0,0.6431280336841029,0.9738678841830867,0,0,0.6644104803493449,0
60,49,655,84296,0,78,0,0.6337593964668862,0.9999999999999997,0,0,0.6655021834061136,0
61,49,585,84366,0,70,0,0.5947297678810838,1.0261321158169132,0,0,0.6665938864628821,0
62,49,542,84409,0,43,0,0.6832885407322227,1.0519779227044397,0,0,0.6676855895196506,0
63,49,484,84467,0,58,0,0.6765125436749693,1.0772542485937369,0,0,0.6687772925764192,0
64,48,432,84520,1,53,1,0.7369754144459254,1.1016841607689498,0,0,0.6698689956331878,0
65,48,385,84567,0,47,0,0.6655548562509447,1.1249999999999998,0,0,0.6709606986899563,0
66,47,344,84609,1,42,1,0.6854472451472211,1.1469463130731183,0,0,0.6720524017467249,0
67,47,309,84644,0,35,0,0.7152044641528514,1.1672826515897143,0,0,0.6731441048034934,0
68,47,279,84674,0,30,0,0.7663240102916592,1.1857862063693485,0,0,0.6742358078602619,0
69,47,251,84702,0,28,0,0.7889991035797068,1.2022542485937369,0,0,0.6753275109170306,0
70,47,230,84723,0,21,0,0.8284762984119931,1.2165063509461096,0,0,0.6764192139737991,0
71,47,197,84756,0,33,0,0.8327435436516848,1.2283863644106503,0,0,0.6775109170305676,0
72,47,176,84777,0,21,0,0.8146375074181822,1.2377641290737884,0,0,0.6786026200873362,0
73,47,165,84788,0,11,0,0.8063072768601758,1.2445369001834514,0,0,0.6796943231441048,0
74,47,150,84803,0,15,0,0.7826680161137883,1.2486304738420684,0,0,0.6807860262008734,0
75,47,137,84816,0,13,0,0.71626895776935,1.25,0,0,0.6818777292576419,0
76,47,120,84833,0,17,0,0.3574684391354779,1.2486304738420684,1,0,0.6829694323144104,0
77,47,109,84844,0,11,0,0.307066440720109,1.2445369001834514,1,0,0.684061135371179,0
78,47,91,84862,0,18,0,0.32663348296829187,1.2377641290737884,1,0,0.6851528384279476,0
79,47,80,84873,0,11,0,0.29558799729082885,1.22838636441065,1,0,0.6862445414847161,0
80,47,78,84875,0,2,0,0.3003332109919987,1.2165063509461098,1,0,0.6873362445414847,0
81,47,72,84881,0,6,0,0.3025479073636243,1.2022542485937369,1,0,0.6884279475982532,0
82,47,68,84885,0,4,0,0.29927678615758196,1.1857862063693487,1,0,0.6895196506550219,0
83,47,59,84894,0,9,0,0.3018358075737903,1.1672826515897143,1,0,0.6906113537117904,0
84,47,54,84899,0,5,0,0.3193227458238041,1.1469463130731183,1,0,0.6917030567685589,0
85,47,51,84902,0,3,0,0.30995487928239945,1.125,1,0,0.6927947598253275,0
86,47,41,84912,0,10,0,0.30441142088777495,1.1016841607689503,1,0,0.693886462882096,0
87,47,35,84918,0,6,0,0.2514712859715507,1.0772542485937369,1,0,0.6949781659388646,0
88,47,33,84920,0,2,0,0.2192954445328022,1.0519779227044401,1,0,0.6960698689956332,0
89,47,28,84925,0,5,0,0.23503891103873908,1.0261321158169132,1,0,0.6971615720524017,0
90,47,25,84928,0,3,0,0.2777895956587854,1.0,1,0,0.6982532751091702,0
91,47,23,84930,0,2,0,0.605451566457873,0.9738678841830866,0,0,0.6993449781659389,0
92,47,19,84934,0,4,0,0.513880989205863,0.9480220772955604,0,0,0.7004366812227074,0
93,47,16,84937,0,3,0,0.6019724669473057,0.9227457514062632,0,0,0.701528384279476,0
94,47,16,84937,0,0,0,0.5539659563685626,0.89831583923105,0,0,0.7026200873362445,0
95,47,13,84940,0,3,0,0.570337329370729,0.8749999999999998,0,0,0.703711790393013,0
96,47,10,84943,0,3,0,0.5474778018073452,0.8530536869268818,0,0,0.7048034934497817,0
97,47,8,84945,0,2,0,0.5307685720490274,0.8327173484102858,0,0,0.7058951965065502,0
98,47,7,84946,0,1,0,0.549992870517666,0.8142137936306516,0,0,0.7069868995633187,0
99,47,6,84947,0,1,0,0.5492169945786232,0.7977457514062631,0,0,0.7080786026200873,0
100,47,6,84947,0,0,0,0.5441535478539782,0.7834936490538903,0,0,0.7091703056768559,0
101,47,6,84947,0,0,0,0.4282038406825838,0.7716136355893499,0,0,0.7102620087336244,0
102,47,6,84947,0,0,0,0.42864092347396543,0.7622358709262116,0,0,0.711353711790393,0
103,47,6,84947,0,0,0,0.46726466905839714,0.7554630998165487,0,0,0.7124454148471615,0
104,47,6,84947,0,0,0,0.49500269817238457,0.7513695261579316,0,0,0.71353711790393,0
105,47,3,84950,0,3,0,0.44652324308896785,0.75,0,0,0.7146288209606987,0
106,47,2,84951,0,1,0,0.5180875890324852,0.7513695261579316,0,0,0.7157205240174672,0
107,47,2,84951,0,0,0,0.48083240436967917,0.7554630998165486,0,0,0.7168122270742358,0
108,47,2,84951,0,0,0,0.49479985533656334,0.7622358709262116,0,0,0.7179039301310044,0
109,47,2,84951,0,0,0,0.44289358703959253,0.7716136355893496,0,0,0.7189956331877729,0
110,47,2,84951,0,0,0,0.5075073781035028,0.7834936490538904,0,0,0.7200873362445415,0
111,47,2,84951,0,0,0,0.5255983545012491,0.7977457514062631,0,0,0.72117903930131,0
112,47,2,84951,0,0,0,0.47836138069347717,0.8142137936306515,0,0,0.7222707423580785,0
113,47,2,84951,0,0,0,0.5137632512510792,0.8327173484102852,0,0,0.7233624454148472,0
114,47,1,84952,0,1,0,0.5639993371861881,0.8530536869268817,0,0,0.7244541484716157,0
115,47,1,84952,0,0,0,0.6130832613639052,0.875,0,0,0.7255458515283842,0
116,47,1,84952,0,0,0,0.6566551561221013,0.8983158392310501,0,0,0.7266375545851528,0
117,47,1,84952,0,0,0,0.5849870198122884,0.922745751406263,0,0,0.7277292576419214,0
118,47,1,84952,0,0,0,0.583636530624881,0.9480220772955602,0,0,0.72882096069869,0
119,47,1,84952,0,0,0,0.6709916322086764,0.9738678841830863,0,0,0.7299126637554585,0
120,47,0,84953,0,1,0,0.5891161887184588,0.9999999999999994,0,0,0.731004366812227,0
121,47,0,84953,0,0,0,0.5931653520152063,1.0261321158169134,0,0,0.7320960698689956,0
122,47,0,84953,0,0,0,0.7077869261755305,1.0519779227044395,0,0,0.7331877729257642,0
123,47,0,84953,0,0,0,0.7039307461060127,1.0772542485937366,0,0,0.7342794759825327,0
124,47,0,84953,0,0,0,0.6867724644698701,1.1016841607689496,0,0,0.7353711790393013,0
125,47,0,84953,0,0,0,0.8543605497194858,1.1249999999999998,0,0,0.7364628820960698,0
126,47,0,84953,0,0,0,0.7132285487446777,1.1469463130731181,0,0,0.7375545851528384,0
127,47,0,84953,0,0,0,0.709437074720411,1.1672826515897146,0,0,0.738646288209607,0
128,47,0,84953,0,0,0,0.7385796869952372,1.1857862063693483,0,0,0.7397379912663755,0
129,47,0,84953,0,0,0,0.730636534720548,1.2022542485937369,0,0,0.740829694323144,0
130,47,0,84953,0,0,0,0.7420945523225037,1.2165063509461094,0,0,0.7419213973799126,0
131,47,0,84953,0,0,0,0.7958327596722422,1.2283863644106503,0,0,0.7430131004366812,0
132,47,0,84953,0,0,0,0.8339042933308016,1.2377641290737884,0,0,0.7441048034934498,0
133,47,0,84953,0,0,0,0.8082531362845324,1.2445369001834514,0,0,0.7451965065502183,0
134,47,0,84953,0,0,0,0.8221303673989242,1.2486304738420684,0,0,0.7462882096069868,0
135,47,0,84953,0,0,0,0.8055762830534684,1.25,0,0,0.7473799126637555,0
136,47,0,84953,0,0,0,0.8300608001162999,1.2486304738420684,0,0,0.748471615720524,0
137,47,0,84953,0,0,0,0.720362004422436,1.2445369001834514,0,0,0.7495633187772925,0
138,47,0,84953,0,0,0,0.6067142388090557,1.2377641290737884,0,0,0.7506550218340611,0
139,47,0,84953,0,0,0,0.7660477539896,1.2283863644106503,0,0,0.7517467248908296,0
140,47,0,84953,0,0,0,0.8087413831098929,1.2165063509461098,0,0,0.7528384279475983,0
141,47,0,84953,0,0,0,0.803740744818829,1.2022542485937369,0,0,0.7539301310043668,0
142,47,0,84953,0,0,0,0.885010501060605,1.1857862063693485,0,0,0.7550218340611353,0
