Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Season_Index,Intervention_Flag,Quarantine_Fraction,Reporting_Prob,MultiWave_Flag,Rt
0,452104,550,1765,135,550,0,135,0,0.3016622471812487,1.0,0,0.0,0.6,0,3.7504539779550736
1,451507,1147,1627,273,597,0,138,0,0.32225685868818965,1.0261321158169134,0,0.0,0.601004016064257,0,4.001208533412104
2,451058,1596,1506,394,449,0,121,0,0.2944142477858797,1.05197792270444,0,0.0,0.6020080321285141,0,3.651873643665091
3,450568,2086,1371,529,490,0,135,0,0.33472920248503507,1.0772542485937369,0,0.0,0.6030120481927711,0,4.147424379316794
4,450132,1972,1820,630,436,550,101,307,0.34251631341330785,1.10168416076895,0,0.0,0.6040160642570281,0,4.239803004410892
5,449459,2048,2272,775,673,597,145,350,0.38294206954022947,1.125,0,0.0,0.6050200803212851,0,4.733121907228899
6,448730,2328,2535,961,729,449,186,278,0.34113938230917656,1.1469463130731183,0,0.0,0.6060240963855421,0,4.209606422548168
7,447714,2854,2840,1146,1016,490,185,297,0.39846825287052656,1.1672826515897146,0,0.0,0.6070281124497992,0,4.905902691585458
8,446515,3617,3040,1382,1199,436,236,251,0.42720846751983216,1.1857862063693485,0,0.0,0.6080321285140562,0,5.245663575576771
9,445399,4060,3465,1630,1114,673,248,418,0.3873245251238259,1.2022542485937369,0,0.0,0.6090361445783132,0,4.744044606516138
10,443975,4755,3926,1898,1424,729,263,455,0.4279511805516925,1.2165063509461096,0,0.0,0.6100401606425703,0,5.224891470139897
11,442273,5441,4635,2205,1702,1016,307,586,0.4331557418093538,1.2283863644106503,0,0.0,0.6110441767068273,0,5.268160916999089
12,440244,6271,5470,2569,2029,1199,364,775,0.44062925316798585,1.2377641290737884,0,0.0,0.6120481927710844,0,5.3344702975797915
13,437940,7461,6151,3002,2304,1114,433,658,0.42938538466536497,1.2445369001834514,0,0.0,0.6130522088353414,0,5.17114125495403
14,435349,8628,7081,3496,2591,1424,494,846,0.4421197186843175,1.2486304738420684,0,0.0,0.6140562248995983,0,5.293000870344858
15,432146,10129,8215,4064,3203,1702,568,1062,0.4740280238146518,1.25,0,0.0,0.6150602409638554,0,5.633250240329161
16,428675,11571,9639,4669,3471,2029,605,1225,0.43085984939096217,1.2486304738420684,0,0.0,0.6160642570281124,0,5.079122775777759
17,424056,13886,11217,5395,4619,2304,726,1419,0.5068280445198909,1.2445369001834514,0,0.0,0.6170682730923694,0,5.910284400943751
18,419369,15982,12981,6222,4687,2591,827,1563,0.453297169211928,1.2377641290737884,0,0.0,0.6180722891566265,0,5.2276181860471205
19,413798,18350,15208,7198,5571,3203,976,1953,0.46384797589316434,1.2283863644106503,0,0.0,0.6190763052208835,0,5.278233299251563
20,406958,21719,17434,8443,6840,3471,1206,2145,0.4908129827545099,1.2165063509461096,0,0.0,0.6200803212851406,0,5.492754156706625
21,400295,23763,20721,9775,6663,4619,1332,2822,0.4363786373606837,1.2022542485937369,0,0.0,0.6210843373493976,0,4.803614824704405
22,392192,27179,23854,11329,8103,4687,1554,2922,0.44409918684323546,1.1857862063693485,0,0.0,0.6220883534136545,0,4.7896440325687974
23,383358,30442,27516,13238,8834,5571,1909,3506,0.44011160291122514,1.1672826515897146,0,0.0,0.6230923694779116,0,4.639721129635903
24,373287,33673,32221,15373,10071,6840,2135,4294,0.4359909722772049,1.1469463130731183,0,0.0,0.6240963855421686,0,4.475534316836971
25,361518,38779,36353,17904,11769,6663,2531,4160,0.4540602186592614,1.125,0,0.0,0.6251004016064257,0,4.5140660441129885
26,348399,43795,41740,20620,13119,8103,2716,5041,0.46735579015970047,1.10168416076895,0,0.0,0.6261044176706827,0,4.47763879362654
