Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases
0,741950,423,1338,111,423,0,111,0
1,741597,709,1303,213,353,67,102,18
2,741165,1035,1313,309,432,106,96,37
3,740739,1311,1354,418,426,150,109,49
4,740315,1548,1434,525,424,187,107,49
5,739833,1795,1544,650,482,235,125,74
6,739304,2076,1672,770,529,248,120,87
7,738716,2371,1837,898,588,293,128,98
8,738101,2649,2035,1037,615,337,139,115
9,737426,2950,2246,1200,675,374,163,140
10,736689,3292,2465,1376,737,395,176,152
11,735820,3694,2764,1544,869,467,168,158
12,734859,4151,3069,1743,961,504,199,168
13,733799,4628,3407,1988,1060,583,245,212
14,732556,5207,3808,2251,1243,664,263,212
15,731223,5809,4223,2567,1333,731,316,242
16,729670,6529,4756,2867,1553,833,300,290
17,727936,7368,5279,3239,1734,895,372,305
18,726055,8208,5898,3661,1881,1041,422,371
19,723934,9151,6626,4111,2121,1178,450,438
20,721464,10304,7404,4650,2470,1317,539,463
21,718751,11521,8332,5218,2713,1496,568,551
22,715706,12857,9405,5854,3045,1709,636,601
23,712195,14540,10567,6520,3511,1828,666,661
24,708440,16283,11779,7320,3755,2012,800,759
25,704359,18040,13179,8244,4081,2324,924,854
26,699634,20221,14724,9243,4725,2544,999,904
27,694242,22780,16434,10366,5392,2833,1123,1051
28,688437,25288,18427,11670,5805,3297,1304,1208
29,681975,28061,20653,13133,6462,3689,1463,1353
30,674726,31297,23117,14682,7249,4013,1549,1475
31,666688,34869,25796,16469,8038,4466,1787,1681
32,657883,38659,28855,18425,8805,5015,1956,1915
33,648164,42847,32260,20551,9719,5531,2126,2109
34,637456,47339,36016,23011,10708,6216,2460,2422
35,625785,52199,40063,25775,11671,6811,2764,2604
36,613132,57400,44426,28864,12653,7452,3089,2870
37,599521,62864,49102,32335,13611,8147,3471,3148
38,584673,68700,54220,36229,14848,9012,3894,3506
39,568672,74892,59904,40354,16001,9809,4125,3837
40,551926,81056,65913,44927,16746,10582,4573,4062
41,533889,87623,72287,50023,18037,11470,5096,4547
42,516638,92264,79316,55604,17251,12610,5581,5071
43,506626,89101,86460,61635,10012,13175,6031,5199
44,495764,87296,92382,68380,10862,12667,6745,5094
45,484533,86106,97629,75554,11231,12421,7174,4939
46,472821,85519,102526,82956,11712,12299,7402,4980
47,460812,85384,106773,90853,12009,12144,7897,4902
48,448702,85251,110875,98994,12110,12243,8141,4935
49,436391,85337,114507,107587,12311,12225,8593,4932
50,423987,85571,117978,116286,12404,12170,8699,4975
51,411589,85679,121218,125336,12398,12290,9050,4972
52,398946,86121,124055,134700,12643,12201,9364,4920
53,386358,86386,126848,144230,12588,12323,9530,5110
54,373670,86846,129390,153916,12688,12228,9686,5036
55,361194,86977,131716,163935,12476,12345,10019,5169
56,348551,87220,134025,174026,12643,12400,10091,5111
57,336196,86966,136378,184282,12355,12609,10256,5189
58,323726,86903,138456,194737,12470,12533,10455,5247
59,311335,86916,140230,205341,12391,12378,10604,5196
60,299039,86756,141923,216104,12296,12456,10763,5196
61,287226,86154,143557,226885,11813,12415,10781,5224
62,275429,85676,144861,237856,11797,12275,10971,5195
