Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Seasonality
0,413942,1958,3784,295,1958,3,295,1,0.4559872565581564,0.7590869246024489
1,412125,2770,4494,592,1817,1007,297,475,0.46139156125210595,0.768062929365234
2,409911,3603,5539,929,2214,1382,337,665,0.4670330253979516,0.7774300324988122
3,407291,4421,6907,1366,2620,1805,437,875,0.4729025500670719,0.7871724389482366
4,404033,5421,8647,1885,3258,2259,519,1093,0.478990722195842,0.7972737208122694
5,399811,6948,10637,2593,4222,2698,708,1336,0.485287842293638,0.8077168450445369
6,394506,8771,13314,3400,5305,3484,807,1720,0.4917839545841645,0.8184842021750989
7,387956,10938,16658,4442,6550,4386,1042,2128,0.49846887984219856,0.8295576360040007
8,379868,13455,20950,5721,8088,5571,1279,2712,0.5053322512316755,0.8409184742167309
9,369860,16649,26150,7336,10008,6815,1615,3304,0.5123635535014494,0.8525475598699709
10,357525,20665,32462,9345,12335,8321,2009,3938,0.5195521659528134,0.8644252836945318
11,342576,25321,40183,11918,14949,10294,2573,4983,0.5268874096589676,0.8765316171610209
12,324575,30543,49800,15080,18001,12779,3162,6251,0.5343585994919596,0.8888461462524726
13,313870,25894,61351,18883,10705,15354,3803,7524,0.541955101598317,0.9013481058869978
14,300870,25909,69459,23760,13000,12985,4877,6302,0.5496663970616932,0.9140164149324107
15,286872,26929,77222,28975,13998,12978,5215,6370,0.5574821526004267,0.9268297117537871
16,271543,28831,84683,34943,15329,13429,5968,6595,0.5653922992710854,0.939766390234013
17,255567,30374,92549,41511,15976,14434,6568,7060,0.5733871202867374,0.9528046362065844
18,238768,31876,100756,48601,16799,15297,7090,7467,0.5814573492116124,0.9659224642392298
19,221733,32866,109018,56387,17035,16048,7786,7869,0.5895942799624373,0.9790977547063195
20,204318,33922,117021,64746,17415,16362,8359,8039,0.5977898902309048,0.9923082910875617
21,187082,34033,125040,73854,17236,17127,9108,8496,0.6060369801405567,1.0055317974300781
22,170024,34219,132340,83428,17058,16874,9574,8343,0.6143293281628736,1.0187459759107027
23,153196,33831,139370,93614,16828,17216,10186,8544,0.6226618665378499,1.031928544435155
24,137243,32888,145635,104248,15953,16899,10634,8227,0.6310308786680743,1.0450572742106905
25,122205,31505,151143,115161,15038,16421,10913,8136,0.6394342211734764,1.0581100272288757
26,108084,29933,155342,126657,14121,15695,11496,7724,0.6478715734936075,1.0710647935952773
27,95138,27833,158366,138682,12946,15049,12025,7424,0.6563447180874534,1.083899728643125
28,83393,25809,159871,150946,11745,13769,12264,6803,0.66485785438209,1.0965931897683585
29,72914,23327,160469,163309,10479,12961,12363,6445,0.6734179496267668,1.1091237729239576
30,63590,20991,159586,175854,9324,11662,12545,5747,0.682035129672279,1.121470348712004
31,55521,18611,157730,188161,8069,10451,12307,5210,0.6907231123562374,1.1336120980126296
32,48527,16325,154962,200211,6994,9282,12050,4535,0.6994996855543024,1.1455285470897596
33,42371,14288,151232,212136,6156,8195,11925,4122,0.708387230954801,1.1571996021144646
34,36801,12709,146770,223749,5570,7151,11613,3561,0.7174132931024052,1.168605583047702
35,32189,10939,141953,234951,4612,6385,11202,3196,0.726611191078847,1.1797272568253132
36,28294,9424,136552,245763,3895,5411,10812,2666,0.7360206671554397,1.1905458697893208
37,24890,8151,130633,256359,3404,4677,10596,2309,0.7456885626409755,1.201043179310839
38,21962,7104,124508,266459,2928,3975,10100,1933,0.755669505707716,1.2112014845512729
39,19486,6100,118385,276064,2476,3482,9605,1765,0.766026588937939,1.2210036563099353
40,17435,5096,112355,285149,2051,3055,9085,1563,0.7768320054277921,1.2304331659077565
41,15573,4460,106244,293760,1862,2500,8611,1264,0.7881676012898694,1.2394741130583742
42,14038,3750,100434,301817,1535,2247,8057,1150,0.8001252891889806,1.2481112526796145
43,12586,3328,94619,309507,1452,1875,7690,939,0.8128072521969708,1.2563300206001484
44,11445,2818,88928,316851,1141,1653,7344,856,0.8263258501492271,1.2641165581179803
45,10477,2366,83602,323597,968,1420,6746,730,0.8408031226956433,1.2714577353693552
46,9618,2076,78475,329874,859,1150,6277,598,0.8563697659095489,1.278341173468677
47,8834,1841,73475,335894,784,1020,6020,512,0.8731634450907989,1.2847552653821126
48,8101,1666,68805,341472,733,908,5578,466,0.8913262988014471,1.290689195499675
49,7463,1488,64340,346755,638,818,5283,429,0.9110014929171731,1.29613295787279
50,6907,1307,60082,351752,556,739,4997,360,0.9323287043616002,1.3010773730865868
51,6450,1110,56076,356412,457,654,4660,329,0.9554384586507813,1.3055141037384703
52,6037,979,52298,360736,413,546,4324,288,0.9804453195448154,1.3094356684968673
53,5666,878,48665,364842,371,473,4106,233,1.0074400372471193,1.3128354547164434
54,5319,780,45336,368619,347,448,3777,227,1.0364809039111804,1.3157077295885196
55,5000,695,42294,372067,319,406,3448,227,1.0675847352576662,1.3180476498078844
56,4707,641,39418,375293,293,350,3226,174,1.1007180793485938,1.3198512697397022
57,4221,813,36689,378337,486,315,3044,176,1.1357894221366769,1.3211155480727461
58,3815,794,34426,381027,406,427,2690,212,1.1726432791684722,1.3218383529477367
59,3435,790,32227,383611,380,385,2584,208,1.2110570939351124,1.322018465552139
60,3095,751,30130,386088,340,380,2477,198,1.2507417697450476,1.321655582175356
61,2791,673,28183,388420,304,385,2332,197,1.2913464225755453,1.320750314720854
62,2536,607,26355,390569,255,321,2149,158,1.3324675623885491,1.3193041896743545
63,2324,501,24711,392533,212,320,1964,165,1.3736624284693126,1.3173196455298337
64,2127,444,23063,394436,197,255,1903,118,1.4144656909735447,1.3148000286776707
65,1939,420,21525,396189,188,215,1753,98,1.4544082764012833,1.3117495877618754
66,1784,371,20115,397803,155,204,1614,119,1.4930367683901602,1.3081734665159153
67,1647,311,18762,399354,137,198,1551,105,1.5299317412598061,1.304077695089214
68,1530,265,17435,400846,117,165,1492,73,1.564723522734379,1.2994691798789586
69,1413,246,16166,402253,117,138,1407,76,1.597104224873821,1.2943556918843497
70,1332,215,15008,403526,81,115,1273,59,1.6268353576916839,1.2887458536029395
