Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Seasonality,Rt
0,484262,811,869,4452,811,0,60,0,0.8026094000065631,1.250671950001061,0.8010889406767057
1,479152,1410,967,8865,754,155,57,37,0.8065128529605357,1.256696650091793,0.7964280297074902
2,474037,1954,1157,13246,813,269,79,56,0.8096542517599312,1.2615245119037664,0.7910933943712087
3,468787,2541,1492,17574,993,406,71,83,0.812019971946089,1.2651330257165811,0.7849351979049666
4,463286,3345,1862,21901,1289,485,115,120,0.8136001434069554,1.2675053669730838,0.7777525223133163
5,457559,4233,2409,26193,1569,681,134,174,0.8143887135965163,1.2686304747232189,0.7693709335091287
6,451370,5445,3095,30484,2077,865,179,200,0.8143834949456414,1.2685031031952845,0.7598553358398201
7,444807,6885,3929,34773,2512,1072,238,260,0.8135861964635118,1.2671238462541405,0.7488435859691092
8,437630,8695,5011,39058,3184,1374,292,339,0.8120024396282866,1.264499134632338,0.7365187362890641
9,429687,11035,6291,43381,4013,1673,393,406,0.8096417587684034,1.2606412059470742,0.7225282586854985
10,420968,13673,7996,47757,4859,2221,516,557,0.80651758624203,1.2555680476427726,0.7066769211686504
11,411205,16994,10060,52135,5981,2660,596,669,0.8026472228319332,1.249303313125314,0.6890149473711206
12,400100,21065,12619,56610,7411,3340,781,837,0.7980517938867155,1.2418762114789386,0.669182102360932
13,387853,25528,15814,61199,8655,4192,997,1093,0.7927561918574021,1.2333213712800124,0.6467896270389658
14,373877,30759,19815,65943,10493,5262,1261,1293,0.7867890060012084,1.223678679142619,0.6222720431828013
15,357807,37198,24582,70807,12714,6275,1508,1526,0.7801824401525074,1.212993093748752,0.5948120698395556
16,339799,44520,30186,75889,14796,7474,1870,1873,0.7729722195951226,1.2013144362301862,0.5639850221998476
17,319680,52729,36707,81278,17068,8859,2338,2165,0.7651974882105449,1.1886971578793624,0.5302131373884161
18,297841,61127,44505,86921,18969,10571,2773,2643,0.7569006972239514,1.1752000862723264,0.4934114505653674
19,273982,70114,53260,93038,21185,12198,3443,3073,0.7481274870240002,1.1608861509874138,0.4543755406116618
20,259870,67781,62982,99761,11652,13985,4263,3586,0.7389265636929613,1.1458220901985063,0.4128365717641833
21,244862,66877,71735,106920,12677,13581,4828,3450,0.729349572049619,1.1300781395108577,0.3864975372629651
22,228839,67376,79577,114602,13828,13329,5487,3422,0.7194509671762888,1.113727704490279,0.359234009234861
23,213039,67715,86842,122798,13749,13410,6145,3321,0.7092878865691921,1.0968470184125059,0.3309843323421725
24,197460,67792,93679,131463,13669,13592,6755,3500,0.6989200252120328,1.0795147868284778,0.30362774269494786
25,182036,68028,100023,140307,13653,13417,7073,3349,0.6884095160162014,1.061811820602725,0.2771921007038404
26,167222,67494,106290,149388,13182,13716,7449,3414,0.6778208181835167,1.0438206591358163,0.25160950268326004
27,153017,66666,111594,159117,12707,13535,8231,3458,0.6672206161087175,1.025625185527571,0.22751902728608417
28,139709,65283,116211,169191,11939,13322,8705,3392,0.6566777314212489,1.007310235475326,0.2049022957639882
29,127271,63468,120341,179314,11188,13003,8873,3459,0.646263050631625,0.9889612017307519,0.18411474149498913
30,115804,61090,123889,189611,10329,12707,9159,3281,0.636049470546991,0.9706636359594268,0.16507268067306308
31,105151,58515,126485,200243,9618,12193,9597,3144,0.6261118630889877,0.95250284985948,0.14785306955867555
32,95417,55515,128591,210871,8798,11798,9692,2949,0.6165270603034242,0.9345635173990715,0.13219663559905986
33,86771,52063,130023,221537,7796,11248,9816,2822,0.6073738590960887,0.9169292800272669,0.1181780191302738
34,78754,48766,130481,232393,7246,10543,10085,2641,0.5987330434449378,0.8996823566989914,0.10594066182041521
35,71469,45561,130253,243111,6585,9790,10018,2484,0.5906874193940701,0.8829031605323074,0.09486045307846465
36,65134,42236,129218,253806,5698,9023,10058,2356,0.5833218548913969,0.8666699238853388,0.08501211199001873
37,59382,38983,127816,264213,5173,8426,9828,2110,0.5767233123618781,0.8510583336009026,0.0766002361924872
38,54306,35642,125845,274601,4550,7891,9862,2008,0.570980856720387,0.8361411781195104,0.06914029379186944
39,49709,32788,123013,284884,4115,6969,9801,1802,0.5661856153091688,0.8219880081060578,0.06269912769116204
40,45609,29808,120394,294583,3662,6642,9261,1687,0.562430659116428,0.8086648121725184,0.05701102712108737
41,41925,27164,117008,304297,3280,5924,9310,1526,0.5598107669279138,0.7962337092085736,0.05206509310639041
42,38661,24630,113515,313588,2893,5427,8920,1388,0.5584220264166366,0.7847526587546741,0.04774088479369138
43,35759,22283,109804,322548,2564,4911,8622,1252,0.5583612196151683,0.7742751907679056,0.04401930511291333
44,33116,20061,105820,331397,2327,4549,8533,1174,0.559724936235537,0.7648501560406205,0.040814536872079525
45,30676,18214,101632,339872,2149,3996,8184,1056,0.5626083588814083,0.7565214984354911,0.037992590473612475
46,28585,16476,97290,348043,1824,3562,7904,930,0.5671036717018146,0.7493280499989389,0.03547448017945747
47,26595,14893,93132,355774,1743,3326,7484,905,0.5732980609513465,0.7433033499082069,0.033417466511201685
48,24841,13453,89085,363015,1521,2961,7008,805,0.5812713043611675,0.7384754880962336,0.03152344918470709
49,23248,12201,84751,370194,1377,2629,6963,669,0.5910929871917984,0.7348669742834189,0.029941926073384795
50,21736,11191,80542,376925,1311,2321,6530,627,0.602819435314875,0.7324946330269161,0.028577727770323892
51,20406,10138,76543,383307,1143,2196,6195,591,0.6164905157212405,0.731369525276781,0.027325044453473907
52,19140,9175,72770,389309,1095,2058,5831,533,0.6321265150658162,0.7314968968047155,0.026303693900074317
53,17964,8383,68962,395085,1012,1804,5612,483,0.6497253565534109,0.7328761537458595,0.025358677562189354
54,16950,7511,65469,400464,857,1729,5222,499,0.6692604420299374,0.735500865367662,0.024516194285871762
55,15945,6835,61978,405636,857,1533,5024,407,0.6906793976204513,0.7393587940529259,0.02387267338031593
56,15024,6285,58588,410497,785,1335,4725,357,0.7139039498571316,0.7444319523572274,0.023212352680644466
57,14217,5779,55222,415176,679,1185,4551,311,0.7388310648020864,0.750696686874686,0.022635264537466903
58,13480,5278,52091,419545,616,1117,4248,303,0.7653353547834063,0.7581237885210614,0.02218781783414089
59,12792,4796,49213,423593,575,1057,3935,302,0.7932726149445576,0.7666786287199877,0.021805558080752695
60,11867,4645,46287,427595,820,971,3897,251,0.8224842196063764,0.776321320857381,0.021454622481524584
61,10792,4691,43698,431213,977,931,3520,234,0.8528020111661954,0.7870069062512478,0.02063687864555692
62,9833,4707,41288,434566,872,856,3266,226,0.8840532701120316,0.7986855637698137,0.019455178674798315
63,8988,4552,38982,437872,765,920,3226,264,0.9160653705906542,0.8113028421206376,0.018368232052223116
64,8166,4381,36916,440931,745,916,2982,266,0.9486697959365381,0.8247999137276737,0.017387333706932802
65,7480,4140,34980,443794,617,858,2794,226,0.9817052962690459,0.8391138490125862,0.01634727474098996
66,6827,3876,33139,446552,592,856,2697,229,1.0150200938713176,0.8541779098014934,0.015482143546123027
67,6237,3638,31443,449076,536,774,2470,218,1.0484731601111206,0.8699218604891423,0.014596276186247426
68,5737,3362,29748,451547,451,727,2422,191,1.0819346837287727,0.8862722955097211,0.01376041840319489
69,5290,3074,28040,453990,403,691,2399,188,1.1152859154067607,0.9031529815874942,0.013047458363455887
70,4868,2832,26490,456204,383,625,2175,181,1.1484186060351267,0.9204852131715224,0.012388272340048656
71,4517,2564,25036,458277,315,583,2037,173,1.18123425993465,0.938188179397275,0.01172577229199761
72,4181,2330,23645,460238,304,538,1929,157,1.2136434063829318,0.9561793408641837,0.011178822062732624
73,3887,2121,22249,462137,267,476,1872,117,1.2455650604533224,0.9743748144724286,0.010619435632889761
74,3626,1933,20957,463878,234,422,1714,113,1.2769265034115873,0.9926897645246741,0.010121276603630632
75,3383,1728,19835,465448,219,424,1546,119,1.3076634673943908,1.0110387982692484,0.009668935045640975
