Day,Reported_Cases
0,0
1,37
2,56
3,83
4,120
5,174
6,200
7,260
8,339
9,406
10,557
11,669
12,837
13,1093
14,1293
15,1526
16,1873
17,2165
18,2643
19,3073
20,3586
21,3450
22,3422
23,3321
24,3500
25,3349
26,3414
27,3458
28,3392
29,3459
30,3281
31,3144
32,2949
33,2822
34,2641
35,2484
36,2356
37,2110
38,2008
39,1802
40,1687
41,1526
42,1388
43,1252
44,1174
45,1056
46,930
47,905
48,805
49,669
50,627
51,591
52,533
53,483
54,499
55,407
56,357
57,311
58,303
59,302
60,251
61,234
62,226
63,264
64,266
65,226
66,229
67,218
68,191
69,188
70,181
71,173
72,157
73,117
74,113
75,119
76,97
77,74
78,98
79,70
80,65
81,56
82,52
83,46
84,59
85,41
86,42
87,40
88,38
89,32
90,23
91,23
92,25
93,19
94,15
95,10
96,10
97,16
98,9
99,12
100,8
101,7
102,7
103,9
104,9
105,7
106,9
107,7
108,6
109,11
110,3
111,4
112,6
113,5
114,1
115,5
116,4
117,1
118,5
119,0
120,3
121,3
122,2
123,1
124,0
125,0
126,1
127,1
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,2
137,0
138,1
139,0
140,8
141,7
142,3
143,3
144,2
145,2
146,1
147,8
148,10
149,5
150,2
151,2
152,2
153,2
154,5
155,4
156,5
157,5
158,6
159,2
160,2
161,5
162,8
163,8
164,3
165,1
166,3
167,0
168,9
169,5
170,3
171,1
172,4
173,1
174,2
175,12
176,12
177,4
178,7
179,3
180,1
181,2
182,10
183,4
184,9
185,9
186,5
187,2
188,1
189,4
190,9
191,6
192,5
193,5
194,2
195,2
196,10
197,7
198,7
199,5
