Day,Susceptible,Infected,Recovered,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Season_Index,Intervention_Flag,Reporting_Prob
0,9990,10,0,0,0,0,0.3,1.0,0,0.6
1,9986,14,0,4,0,4,0.30783963474507403,1.0261321158169134,0,0.6013966480446927
2,9980,19,1,6,1,5,0.315593376811332,1.05197792270444,0,0.6027932960893855
3,9972,26,2,8,1,5,0.32317627457812104,1.0772542485937369,0,0.6041899441340782
4,9964,29,7,8,5,3,0.330505248230685,1.10168416076895,0,0.605586592178771
5,9956,35,9,8,2,5,0.33749999999999997,1.125,0,0.6069832402234636
6,9952,37,11,4,2,1,0.3440838939219355,1.1469463130731183,0,0.6083798882681564
7,9936,49,15,16,4,10,0.35018479547691433,1.1672826515897146,0,0.6097765363128491
8,9912,68,20,24,5,11,0.35573586191080453,1.1857862063693485,0,0.6111731843575419
9,9873,105,22,39,2,27,0.36067627457812107,1.2022542485937369,0,0.6125698324022346
10,9829,140,31,44,9,29,0.36495190528383287,1.2165063509461096,0,0.6139664804469274
11,9783,173,44,46,13,28,0.36851590932319506,1.2283863644106503,0,0.6153631284916201
12,9722,218,60,61,16,40,0.3713292387221365,1.2377641290737884,0,0.6167597765363129
13,9638,287,75,84,15,47,0.37336107005503544,1.2445369001834514,0,0.6181564245810056
14,9532,364,104,106,29,63,0.3745891421526205,1.2486304738420684,0,0.6195530726256983
15,9390,467,143,142,39,91,0.375,1.25,0,0.620949720670391
16,9218,601,181,172,38,120,0.3745891421526205,1.2486304738420684,0,0.6223463687150838
17,9008,763,229,210,48,137,0.37336107005503544,1.2445369001834514,0,0.6237430167597765
18,8766,927,307,242,78,154,0.3713292387221365,1.2377641290737884,0,0.6251396648044693
19,8482,1127,391,284,84,176,0.36851590932319506,1.2283863644106503,0,0.626536312849162
20,8126,1375,499,356,108,222,0.36495190528383287,1.2165063509461096,0,0.6279329608938548
21,7750,1623,627,376,128,231,0.36067627457812107,1.2022542485937369,0,0.6293296089385475
22,7295,1921,784,455,157,278,0.35573586191080453,1.1857862063693485,0,0.6307262569832403
23,6810,2230,960,485,176,325,0.35018479547691433,1.1672826515897146,0,0.6321229050279329
24,6341,2486,1173,469,213,306,0.3440838939219355,1.1469463130731183,0,0.6335195530726256
25,5849,2738,1413,492,240,323,0.33749999999999997,1.125,0,0.6349162011173184
26,5337,2986,1677,512,264,305,0.330505248230685,1.10168416076895,0,0.6363128491620111
27,4832,3191,1977,505,300,317,0.32317627457812104,1.0772542485937369,0,0.6377094972067039
28,4376,3328,2296,456,319,266,0.315593376811332,1.05197792270444,0,0.6391061452513966
29,3953,3450,2597,423,301,273,0.307839634745074,1.0261321158169132,0,0.6405027932960894
30,3543,3516,2941,410,344,261,0.30000000000000004,1.0000000000000002,0,0.6418994413407821
31,3194,3534,3272,349,331,205,0.292160365254926,0.9738678841830868,0,0.6432960893854749
32,2886,3496,3618,308,346,197,0.28440662318866805,0.9480220772955602,0,0.6446927374301675
33,2645,3399,3956,241,338,165,0.27682372542187894,0.9227457514062631,0,0.6460893854748603
34,2380,3356,4264,265,308,163,0.269494751769315,0.89831583923105,0,0.647486033519553
35,2165,3247,4588,215,324,136,0.2625,0.8750000000000001,0,0.6488826815642458
36,2010,3097,4893,155,305,101,0.25591610607806453,0.8530536869268818,0,0.6502793296089385
37,1895,2901,5204,115,311,69,0.24981520452308562,0.8327173484102854,0,0.6516759776536313
38,1773,2748,5479,122,275,73,0.24426413808919545,0.8142137936306515,0,0.653072625698324
39,1655,2606,5739,118,260,75,0.23932372542187894,0.7977457514062631,0,0.6544692737430168
40,1546,2453,6001,109,262,72,0.2350480947161671,0.7834936490538904,0,0.6558659217877095
41,1470,2323,6207,76,206,53,0.23148409067680498,0.7716136355893499,0,0.6572625698324022
42,1391,2184,6425,79,218,56,0.22867076127786345,0.7622358709262116,0,0.6586592178770949
43,1316,2044,6640,75,215,46,0.22663892994496457,0.7554630998165486,0,0.6600558659217877
44,1251,1908,6841,65,201,41,0.22541085784737946,0.7513695261579316,0,0.6614525139664804
45,1199,1789,7012,52,171,32,0.22499999999999998,0.75,0,0.6628491620111732
46,1148,1673,7179,51,167,26,0.22541085784737946,0.7513695261579316,0,0.6642458100558659
47,1097,1561,7342,51,163,32,0.22663892994496457,0.7554630998165486,0,0.6656424581005587
48,1060,1421,7519,37,177,29,0.22867076127786345,0.7622358709262116,0,0.6670391061452514
49,1031,1314,7655,29,136,20,0.2314840906768049,0.7716136355893497,0,0.6684357541899442
50,1010,1199,7791,21,136,14,0.2350480947161671,0.7834936490538904,0,0.6698324022346368
51,983,1106,7911,27,120,18,0.23932372542187894,0.7977457514062631,0,0.6712290502793296
52,956,1048,7996,27,85,19,0.24426413808919545,0.8142137936306515,0,0.6726256983240223
53,944,962,8094,12,98,8,0.24981520452308562,0.8327173484102854,0,0.674022346368715
54,926,875,8199,18,105,12,0.2559161060780645,0.8530536869268817,0,0.6754189944134078
55,903,814,8283,23,84,14,0.2625,0.8750000000000001,0,0.6768156424581006
56,880,765,8355,23,72,13,0.269494751769315,0.89831583923105,0,0.6782122905027933
57,867,709,8424,13,69,10,0.27682372542187894,0.9227457514062631,0,0.679608938547486
58,853,658,8489,14,65,8,0.28440662318866805,0.9480220772955602,0,0.6810055865921787
59,836,619,8545,17,56,11,0.292160365254926,0.9738678841830867,0,0.6824022346368714
60,828,567,8605,8,60,7,0.2999999999999999,0.9999999999999997,0,0.6837988826815642
61,820,517,8663,8,58,4,0.307839634745074,1.0261321158169132,0,0.6851955307262569
62,804,487,8709,16,46,10,0.31559337681133187,1.0519779227044397,0,0.6865921787709497
63,796,443,8761,8,52,3,0.32317627457812104,1.0772542485937369,0,0.6879888268156424
64,786,412,8802,10,41,8,0.33050524823068494,1.1016841607689498,0,0.6893854748603352
65,771,396,8833,15,31,9,0.3374999999999999,1.1249999999999998,0,0.6907821229050279
66,761,378,8861,10,28,5,0.3440838939219355,1.1469463130731183,0,0.6921787709497207
67,754,352,8894,7,33,2,0.3501847954769143,1.1672826515897143,0,0.6935754189944134
68,745,334,8921,9,27,6,0.35573586191080453,1.1857862063693485,0,0.6949720670391061
69,733,322,8945,12,24,9,0.36067627457812107,1.2022542485937369,0,0.6963687150837988
70,732,296,8972,1,27,1,0.14598076211353314,1.2165063509461096,1,0.6977653631284916
71,730,269,9001,2,29,2,0.14740636372927804,1.2283863644106503,1,0.6991620111731843
72,728,250,9022,2,21,2,0.14853169548885461,1.2377641290737884,1,0.7005586592178771
73,722,232,9046,6,24,4,0.14934442802201417,1.2445369001834514,1,0.7019553072625698
74,720,209,9071,2,25,0,0.14983565686104822,1.2486304738420684,1,0.7033519553072626
75,719,200,9081,1,10,1,0.15000000000000002,1.25,1,0.7047486033519553
76,716,185,9099,3,18,3,0.14983565686104822,1.2486304738420684,1,0.706145251396648
77,714,167,9119,2,20,2,0.14934442802201417,1.2445369001834514,1,0.7075418994413407
78,709,155,9136,5,17,4,0.14853169548885461,1.2377641290737884,1,0.7089385474860335
79,709,140,9151,0,15,0,0.147406363729278,1.22838636441065,1,0.7103351955307262
80,709,132,9159,0,8,0,0.14598076211353317,1.2165063509461098,1,0.711731843575419
81,707,118,9175,2,16,2,0.14427050983124842,1.2022542485937369,1,0.7131284916201117
82,707,109,9184,0,9,0,0.14229434476432185,1.1857862063693487,1,0.7145251396648045
83,705,107,9188,2,4,1,0.14007391819076573,1.1672826515897143,1,0.7159217877094972
84,704,93,9203,1,15,0,0.1376335575687742,1.1469463130731183,1,0.71731843575419
85,704,83,9213,0,10,0,0.13499999999999998,1.125,1,0.7187150837988827
86,704,79,9217,0,4,0,0.13220209929227403,1.1016841607689503,1,0.7201117318435754
